geneid,a_h
YEL046C,2.241206273
YHR007C,1.573695174
YHR057C,1.31078314
YOL126C,1.234732685
YNL277W,1.020306834
YLR056W,0.947352506
YMR015C,0.913522451
YGR136W,0.871625006
YNR053C,0.774558213
YHL024W,0.728073793
YPR167C,0.672318883
YPL127C,0.642798485
YER126C,0.569476772
YOR099W,0.552260876
YOR171C,0.469237673
YKR046C,0.465545591
YNL141W,0.408221352
YBL078C,0.408072939
YHR206W,0.321802219
YPL093W,0.314385901
YGR250C,0.313906784
YIL053W,0.30166842
YJL101C,0.295377457
YNL298W,0.293231237
YBL016W,0.285249129
YDR153C,0.278634803
YHR205W,0.276666179
YER062C,0.276268034
YNL323W,0.261013338
YEL071W,0.25891176
YKL032C,0.249546062
YFL007W,0.248925425
YHR207C,0.247498062
YLR009W,0.242912594
YNL201C,0.238145096
YJL201W,0.236278775
YNL002C,0.23560929
YGL181W,0.232535651
YKL159C,0.229468463
YJR125C,0.22336949
YMR145C,0.219361976
YKR002W,0.21812144
YDR055W,0.217866909
YER114C,0.212993647
YMR104C,0.205955653
YJL042W,0.200269945
YNL208W,0.199280406
YIL030C,0.192640745
YOR056C,0.190720483
YMR197C,0.189104725
YGR175C,0.189033508
YLR241W,0.183583567
YHR161C,0.181487694
YNL110C,0.179974762
YBR162C,0.178824141
YDL134C,0.17772814
YPR035W,0.173965033
YFR001W,0.17372378
YHR137W,0.172701992
YDL110C,0.172451027
YMR009W,0.170190617
YDR379C-A,0.169792298
YLR387C,0.169660737
YMR098C,0.169170596
YEL060C,0.168848846
YJL082W,0.167854631
YDL115C,0.166857587
YCL037C,0.165645532
YPR133C,0.165527209
YPR024W,0.163317065
YBR177C,0.161787329
YKR097W,0.159792187
YGR286C,0.156773902
YDR150W,0.15641124
YML016C,0.155818156
YOR089C,0.154294222
YHR138C,0.153884338
YER166W,0.152700679
YOL041C,0.152450181
YDR493W,0.151554733
YDL140C,0.150969957
YOR370C,0.150758919
YDR074W,0.149225654
YGR111W,0.148574178
YOR091W,0.147068978
YKL126W,0.146949876
YDL215C,0.146456219
YLR250W,0.143761013
YDR251W,0.143476742
YNL129W,0.142500532
YER083C,0.142332197
YJL033W,0.139186126
YKL091C,0.138550359
YDR272W,0.138052382
YPL170W,0.137344897
YAL042W,0.135298554
YGL125W,0.133086996
YHR059W,0.13306679
YGR271W,0.132730136
YLR309C,0.132206249
YPR143W,0.131957323
YBR273C,0.130105576
YMR311C,0.128676188
YJR002W,0.126568694
YFR016C,0.125605343
YLR153C,0.125556206
YML110C,0.125196596
YBR280C,0.124904538
YMR276W,0.124285308
YDR397C,0.123438574
YFL038C,0.122094535
YPL184C,0.121699662
YCL017C,0.120087557
YKR035W-A,0.119007849
YLR075W,0.118688566
YDR330W,0.118257146
YLR093C,0.118205759
YBR214W,0.117946828
YNL118C,0.117708125
YBR101C,0.114133067
YGL078C,0.112974836
YGR271C-A,0.112610442
YEL055C,0.112444723
YOR204W,0.11234089
YDL190C,0.111235569
YMR124W,0.111166077
YLR276C,0.111151585
YOR285W,0.111095215
YJR066W,0.110763903
YER024W,0.110686711
YOR298C-A,0.110423343
YFR030W,0.110382569
YAL025C,0.109671284
YBL059C-A,0.109629944
YBL105C,0.108413874
YLR017W,0.108295497
YDL236W,0.107878503
YMR067C,0.10768205
YNL112W,0.106589645
YGL153W,0.106492071
YNL090W,0.106333191
