ensembl_gene_id,ki(da/s)
YPL228W,416.2192159
YLR390W-A,264.7239261
YLR421C,655.0975642
YPL249C-A,191.6488493
YOR298C-A,611.30278
YBR085C-A,404.4347509
YEL020W-A,195.2191164
YJR048W,6.308979064
YOL086C,674.8533266
YGR192C,1428.120304
YHR051W,266.0192821
YJR104C,1165.507475
YHR008C,374.5948237
YBR160W,61.33489477
YCR012W,2117.327258
YMR297W,579.3146508
YPL111W,420.7579101
YBR011C,2174.581482
YJR121W,1889.949408
YGR254W,1759.683784
YHR174W,1958.699878
YER086W,168.9125182
YGL026C,988.0181045
YKL211C,303.3558553
YDR050C,1360.445422
YKL152C,1442.877462
YGR264C,706.2379527
YDL181W,259.9162848
YDL130W-A,677.3965358
YOR101W,1036.955908
YNL098C,25.6360472
YFL038C,462.9253324
YDR224C,757.6273342
YNL030W,136.7087593
YBR009C,130.1816954
YDR382W,656.4018559
YGL103W,253.1446298
YML024W,337.7265807
YFL037W,309.940549
YPL240C,846.8715531
YOR187W,330.1885589
YBR118W,285.8039403
YPR080W,289.5076938
YMR300C,351.3060156
YDL140C,489.3520156
YER165W,1512.964668
YDR408C,143.3725116
YGL031C,119.0789882
YIL078W,555.5416175
YFR053C,8446.041937
YGL253W,3299.071118
YDR225W,70.6936747
YGL008C,355.7171037
YLR340W,906.9865044
YDL081C,290.8596478
YOL039W,477.7599324
YGL040C,43.9092287
YER091C,14834.42139
YGL076C,185.4122873
YGL147C,14.86787839
YKL180W,328.7666759
YLR344W,268.5799251
YPL143W,212.1263009
YMR194W,41.30252249
YLR029C,98.68017125
YLR061W,47.81223424
YNL178W,325.4147028
YLR167W,22.00129117
YDL165W,38.5626486
YDR168W,2331.92019
YIL038C,77.34292718
YJL080C,906.0262889
YLR355C,1842.481111
YLR044C,736.043501
YAL039C,98.5103265
YOR204W,839.2578209
YOR257W,142.6398789
YGL237C,365.5145317
YPR165W,186.281925
YDR477W,92.01417091
YOR074C,559.2472447
YBR109C,719.9481919
YDR226W,869.220477
YNL121C,1810.629222
YGL234W,1846.751587
YMR083W,1979.648804
YPR191W,2041.397166
YOR303W,683.5323848
YOL139C,750.7236674
YPL154C,2998.271593
YGL043W,314.7723303
YIL033C,765.5882284
YNL302C,735.3409435
YFL045C,1504.974032
YMR108W,1512.245154
YHR013C,9.337101381
YFL005W,81.70603038
YPR110C,876.3469372
YOR236W,609.6638812
YOR151C,248.8947341
YCR005C,184.8855589
YPL237W,713.3217212
YBR084W,552.7902003
YGL203C,172.8728151
YFL018C,722.2092042
YML085C,393.5881876
YJL026W,618.2471638
YLR333C,195.7673875
YKR057W,1353.105415
YLR264W,1441.546788
YDL075W,90.06116337
YGL041W-A,139.9713486
YIL148W,315.689105
YKR094C,354.2736981
YJR045C,3558.378303
YPR043W,56.57765438
YJR094W-A,69.75288964
YGR118W,132.7483957
YPR132W,126.8933326
YER074W,35.40606574
YIL069C,48.35710032
YLR287C-A,7.913899202
YOR182C,7.94360466
YPL090C,227.6565877
YBR181C,240.2495594
YER117W,199.079559
YBL087C,261.5278201
YPL220W,49.46397774
YGL135W,47.38262929
YBR048W,155.1724251
YDR025W,169.900201
YOL120C,40.67584141
YNL301C,77.38559764
YMR143W,144.9988241
YDL083C,110.7642585
YDR418W,601.3323585
YEL054C,780.6991691
YDR450W,200.725412
YML026C,236.6227888
YHR055C,1375.020947
YHR053C,1363.727926
YBR084C-A,189.6672778
YBL027W,143.0976514
YDL136W,280.8822638
YDL191W,261.1915641
YHL034C,1194.728379
YKR059W,118.1828963
YJL138C,118.9171006
YLR163C,563.9389838
YAL005C,1140.097766
YLL024C,3070.030997
YHR007C,215.6083658
YDL130W,1608.028519
YLR180W,1579.083403
YDR347W,240.1750138
YDR170C,100.2118737
YDR044W,550.9654036
YDL229W,2573.131609
YDR481C,30.16883792
YPR052C,1922.673294
YMR235C,880.7341613
YNL216W,301.4788828
YBR143C,456.6548762
YIL015W,756.7829343
YKL126W,185.6955955
YNL071W,524.5813804
YGL115W,7.049990312
YOR276W,254.8915115
YML106W,262.7075189
YIL034C,1300.421319
YGL030W,98.21380146
YKL112W,702.7672093
YJL151C,628.6092288
YKL060C,1480.59439
YLR195C,52.80320066
YDR155C,958.1526902
YKL103C,530.2247014
YOR254C,444.4014483
YBR112C,859.6281548
YMR186W,1529.588543
YDR037W,635.5709978
YDR454C,877.1247963
YPL117C,322.2429625
YFL022C,1156.840633
YDL014W,96.61417343
YKL024C,311.928333
YGR282C,583.261788
YOR027W,1136.841377
YCR088W,1886.812557
YCR053W,2697.683028
YBR127C,484.7096647
YER178W,256.4042949
YJL034W,2517.606353
YLR249W,747.4055834
YIL136W,371.6273239
YCL050C,1631.055641
YHR042W,757.626983
YOR176W,789.9765924
YCR084C,513.3985945
YGR240C,1118.912947
YMR205C,935.6290888
YHL033C,24.12386908
YDL185W,2238.257588
YKL085W,2565.894946
YNL079C,891.3688781
YGR019W,593.7860793
YDR513W,359.5650448
YGR167W,473.6061519
YNL130C,88.0662729
YCL043C,1654.282213
YHR128W,102.6947601
YBR080C,588.3185336
YJR086W,77.65195998
YMR173W,3050.064707
YPL231W,1902.994393
YOR326W,102.3910998
YGR184C,20.59475091
YML007W,62.01158247
YDL236W,332.187863
YLR259C,3217.4549
YOR140W,3846.502622
YPR088C,143.2976415
YPR187W,280.769386
YOR224C,85.18446343
YJL033W,52.8814858
YOR046C,587.6716857
YJR007W,592.0737294
YGL055W,57.75438093
YGL011C,102.230567
YLR196W,392.8928693
YER070W,813.2263158
