Protein,phi_calib
Q0045,3.52541E-05
Q0140,1.0894E-05
Q0250,5.68041E-05
YAL003W,0.008034631
YAL005C,0.003016919
YAL007C,0.000174206
YAL012W,0.002370552
YAL016W,0.000266355
YAL017W,7.46711E-05
YAL019W,4.82754E-05
YAL021C,0.000295636
YAL023C,0.000334501
YAL025C,6.51496E-05
YAL029C,4.5501E-05
YAL034W-A,4.42558E-05
YAL035W,0.001015539
YAL036C,0.00022277
YAL038W,0.011255069
YAL039C,4.71796E-05
YAL042W,0.000146747
YAL043C,6.18207E-05
YAL044C,0.000412663
YAL044W-A,0
YAL046C,2.08638E-05
YAL049C,8.38257E-05
YAL059W,0.000105021
YAL060W,0.000221717
YAL062W,0.001937504
YAR002C-A,0.000254484
YAR002W,0.000189522
YAR007C,0.000335125
YAR015W,0.001041717
YAR042W,0.000137084
YBL004W,4.59045E-05
YBL007C,0.000468344
YBL015W,8.13505E-05
YBL017C,0.00027906
YBL020W,0.000137055
YBL022C,0.000266222
YBL023C,0.000142788
YBL024W,0.001183498
YBL026W,0.000103327
YBL028C,8.03764E-05
YBL029C-A,2.76905E-05
YBL030C,0.001283468
YBL032W,0.000242702
YBL033C,8.0385E-05
YBL035C,4.60559E-05
YBL036C,0.000163787
YBL039C,0.000871482
YBL041W,0.000315552
YBL045C,0.000415654
YBL047C,0.000376114
YBL050W,0.000259829
YBL051C,0.000233545
YBL054W,2.18512E-05
YBL055C,5.40577E-05
YBL056W,0.000116747
YBL057C,6.95085E-05
YBL058W,0.000209377
YBL059C-A,2.05416E-05
YBL064C,0.000434473
YBL068W,0.00036566
YBL069W,3.74563E-05
YBL075C,0.000245815
YBL076C,0.00195172
YBL079W,0.00013324
YBL085W,1.00187E-05
YBL086C,4.412E-05
YBL090W,6.38439E-05
YBL091C,0.000337122
YBL092W,0.001818307
YBL093C,4.17801E-05
YBL098W,5.03314E-05
YBL099W,0.002174983
YBL103C,5.22961E-05
YBL104C,8.12153E-05
YBL105C,5.74031E-05
YBL107C,7.69178E-05
YBR003W,0.000222465
YBR006W,3.26689E-05
YBR011C,0.003195665
YBR015C,0.000127804
YBR016W,5.35243E-05
YBR017C,0.000295598
YBR024W,1.56772E-05
YBR025C,0.00179389
YBR026C,0.000163356
YBR029C,6.49107E-05
YBR031W,0.001053075
YBR034C,7.47035E-05
YBR035C,0.00043335
YBR039W,0.000302435
YBR042C,3.43743E-05
YBR046C,0.000117821
YBR049C,0.000239172
YBR052C,8.56738E-05
YBR053C,0.000182178
YBR054W,4.68847E-05
YBR056W,9.79302E-05
YBR058C,0.000116926
YBR058C-A,4.82454E-05
YBR069C,8.84246E-05
YBR072W,0.000305817
YBR074W,0
YBR077C,4.84157E-05
YBR078W,0.00110485
YBR079C,0.000593059
YBR080C,0.000193366
YBR081C,0.000770834
YBR082C,3.54844E-05
YBR084W,0.000543407
YBR085C-A,0.000156531
YBR086C,0.000303684
YBR087W,8.14625E-05
YBR088C,0.000229438
YBR089C-A,0.000163986
YBR091C,4.34857E-05
YBR092C,0.000744089
YBR094W,0.000113744
YBR095C,0.00011541
YBR096W,4.89067E-05
YBR101C,0.000258301
YBR104W,4.81244E-05
YBR106W,0.000230873
YBR108W,0
YBR109C,0.000353959
YBR111C,0.000212085
YBR111W-A,3.39138E-05
YBR112C,8.35505E-05
YBR115C,0.00230392
YBR117C,9.9718E-06
YBR121C,0.002502307
YBR122C,1.617E-05
YBR125C,1.58427E-05
YBR126C,0.000451869
YBR127C,0.002368564
YBR131W,8.78563E-05
YBR135W,0.000102763
YBR137W,1.93004E-05
YBR139W,0.000160441
YBR142W,0.00020794
YBR143C,0.000705718
YBR145W,0.000115691
YBR146W,5.76311E-05
YBR149W,0.000410344
YBR151W,9.32637E-05
YBR154C,0.000391156
YBR155W,0.00015164
YBR159W,8.6686E-05
YBR160W,0.000113402
YBR162C,0.000448946
YBR164C,7.59013E-05
YBR166C,6.85567E-05
YBR167C,4.09659E-05
YBR169C,0.000221585
YBR170C,0.000168634
YBR171W,5.09908E-05
YBR172C,7.66646E-05
YBR173C,0
YBR176W,4.85557E-05
YBR177C,0.000198728
YBR185C,9.87792E-06
YBR188C,2.66216E-05
YBR189W,0.000529054
YBR191W,8.53834E-06
YBR196C,0.004568313
YBR198C,0.000136232
YBR199W,9.15489E-05
