Protein,phi_calib
Q0045,0.000156821
Q0140,5.26886E-05
Q0250,0.000630704
YAL003W,0.007467588
YAL005C,0.003734197
YAL007C,0.000159921
YAL012W,0.000618073
YAL016W,0.000339706
YAL017W,7.8286E-05
YAL019W,4.72171E-05
YAL021C,0.00042624
YAL023C,0.000403819
YAL025C,3.69958E-05
YAL029C,3.06568E-05
YAL034W-A,1.42581E-05
YAL035W,0.000673847
YAL036C,0.000172015
YAL038W,0.005672833
YAL039C,7.93757E-05
YAL042W,8.4998E-05
YAL043C,4.75899E-05
YAL044C,0.000399764
YAL044W-A,5.64852E-06
YAL046C,8.81838E-06
YAL049C,0.000340757
YAL059W,1.92207E-05
YAL060W,0.001076961
YAL062W,0.00033413
YAR002C-A,0.000191903
YAR002W,0.000139734
YAR007C,0.000292673
YAR015W,0.00053841
YAR042W,0.000323612
YBL004W,0
YBL007C,0.000432287
YBL015W,0.000798924
YBL017C,0.000308552
YBL020W,3.11606E-05
YBL022C,0.000257964
YBL023C,0.000127598
YBL024W,0.001160868
YBL026W,7.19397E-05
YBL028C,2.08659E-05
YBL029C-A,4.40414E-05
YBL030C,0.004444491
YBL032W,0.000210977
YBL033C,9.53918E-05
YBL035C,2.70785E-05
YBL036C,9.855E-05
YBL039C,0.000445134
YBL041W,0.000402246
YBL045C,0.00233275
YBL047C,0.000508298
YBL050W,0.00046434
YBL051C,0.000178812
YBL054W,0
YBL055C,8.38501E-05
YBL056W,0.000148088
YBL057C,7.94553E-05
YBL058W,0.000257112
YBL059C-A,4.27271E-05
YBL064C,0.004104346
YBL068W,0.000313356
YBL069W,3.40534E-05
YBL075C,0.000282824
YBL076C,0.000651421
YBL079W,0.00019239
YBL085W,0
YBL086C,1.70211E-05
YBL090W,0.00010662
YBL091C,0.000265674
YBL092W,0.001007718
YBL093C,4.7805E-05
YBL098W,4.24745E-05
YBL099W,0.010053506
YBL103C,1.4986E-05
YBL104C,9.0906E-05
YBL105C,9.86028E-05
YBL107C,7.43967E-05
YBR003W,0.000224198
YBR006W,0.00020939
YBR011C,0.002619403
YBR015C,0.000149971
YBR016W,0.000143583
YBR017C,0.000197404
YBR024W,4.51475E-05
YBR025C,0.001731928
YBR026C,0.000703605
YBR029C,2.26747E-05
YBR031W,0.000233408
YBR034C,0.000107898
YBR035C,0.00036567
YBR039W,0.001021613
YBR042C,3.61862E-05
YBR046C,0.00072334
YBR049C,0.000287703
YBR052C,0.000100361
YBR053C,0.000414825
YBR054W,0.000152831
YBR056W,0.000259708
YBR058C,0.000297786
YBR058C-A,7.87978E-05
YBR069C,4.62655E-05
YBR072W,0.011581936
YBR074W,0
YBR077C,4.96103E-05
YBR078W,0.001578759
YBR079C,0.000474787
YBR080C,0.000167561
YBR081C,0.00117467
YBR082C,1.2011E-05
YBR084W,0.000243812
YBR085C-A,9.92705E-05
YBR086C,0.000522533
YBR087W,5.09132E-05
YBR088C,0.000339818
YBR089C-A,0.000457149
YBR091C,7.17163E-05
YBR092C,0.000424252
YBR094W,0.00011525
YBR095C,0.000116829
YBR096W,6.39033E-05
YBR101C,9.29343E-05
YBR104W,1.56031E-06
YBR106W,0.000175486
YBR108W,8.2509E-05
YBR109C,0.000214254
YBR111C,0.000392174
YBR111W-A,4.11173E-05
YBR112C,9.26879E-05
YBR115C,0.001464701
YBR117C,0.002292517
YBR121C,0.001700647
YBR122C,4.13925E-05
YBR125C,1.16349E-05
YBR126C,0.002359742
YBR127C,0.001914729
YBR131W,0.000369883
YBR135W,0.000116231
YBR137W,1.76906E-05
YBR139W,0.000601984
YBR142W,0.000166459
YBR143C,0.000416823
YBR145W,6.21196E-05
YBR146W,5.8793E-05
YBR149W,0.002022709
YBR151W,9.82621E-05
YBR154C,0.000295841
YBR155W,0.000105204
YBR159W,8.49204E-05
YBR160W,0.000204284
YBR162C,0.000235928
YBR164C,6.72797E-05
YBR166C,9.09771E-05
YBR167C,4.16573E-05
YBR169C,0.0009198
YBR170C,0.00018905
YBR171W,4.67376E-05
YBR172C,7.49426E-05
YBR173C,2.21196E-05
YBR176W,6.53442E-05
YBR177C,0.000115966
YBR185C,2.86721E-05
YBR188C,1.99892E-05
YBR189W,0.000183631
YBR191W,6.01704E-05
YBR196C,0.004780803
YBR198C,0.000155567
YBR199W,7.14787E-05
YBR200W,6.29747E-05
YBR204C,3.35388E-05
YBR205W,0.000178589
YBR212W,0.000155086
YBR214W,0.000230278
YBR218C,0.000295897
YBR221C,0.002772466
YBR222C,0.000475316
YBR227C,0.000197018
YBR229C,0.00017024
YBR230C,0.000508376
YBR231C,9.44072E-06
YBR233W,8.57581E-05
YBR233W-A,4.59114E-05
YBR234C,9.91056E-05
YBR236C,0.000130734
YBR238C,3.08592E-05
YBR244W,6.60776E-05
YBR245C,9.49766E-05
YBR246W,7.40149E-05
YBR247C,0.000113838
YBR248C,0.001185044
YBR249C,0.001221663
YBR251W,0.000104478
YBR252W,0.000169514
YBR253W,3.49159E-05
YBR256C,0.000176486
YBR258C,8.40177E-06
YBR260C,1.17865E-05
YBR261C,9.03287E-05
YBR262C,6.07775E-05
YBR263W,0.000870252
YBR265W,0.000120179
YBR267W,8.24166E-06
YBR269C,0.000323423
YBR272C,5.52906E-05
YBR273C,9.23645E-05
YBR278W,8.58282E-06
YBR281C,7.94102E-05
YBR283C,0.000154407
YBR286W,0.000681376
YCL001W,9.40074E-05
YCL005W-A,4.02358E-05
YCL008C,2.87287E-05
YCL009C,0.001580827
YCL011C,0.00012923
YCL017C,0.000741141
YCL024W,0
YCL026C-B,0.000121292
YCL028W,0.000614575
YCL029C,2.97317E-05
YCL030C,0.000316436
YCL031C,3.87757E-05
YCL033C,0.000133441
YCL034W,6.86454E-05
YCL035C,0.000361235
YCL037C,0.00025986
YCL040W,0.006853419
YCL043C,0.001854556
YCL044C,9.28809E-05
YCL045C,0.000190925
YCL050C,0.000438372
YCL054W,8.75535E-05
YCL057C-A,0.000130092
YCL057W,0.000263791
YCL059C,0.000135805
YCR002C,0.000286359
YCR004C,0.001535319
YCR005C,0.000172412
YCR009C,0.000175261
YCR012W,0.019430557
YCR017C,9.85649E-05
YCR020W-B,5.93409E-05
YCR028C-A,0.001391324
YCR030C,0.000346033
YCR031C,0
