Protein,phi_calib
Q0045,8.29044E-05
Q0140,4.0919E-05
Q0250,0.000126008
YAL003W,0.008463801
YAL005C,0.00258157
YAL007C,0.000190658
YAL012W,0.002397044
YAL016W,0.000281328
YAL017W,7.56552E-05
YAL019W,5.50713E-05
YAL021C,0.000324758
YAL023C,0.000420412
YAL025C,7.61359E-05
YAL029C,4.26188E-05
YAL034W-A,1.40935E-05
YAL035W,0.000962267
YAL036C,0.000248525
YAL038W,0.011848161
YAL039C,2.78914E-05
YAL042W,0.000135873
YAL043C,5.1242E-06
YAL044C,0.000482407
YAL044W-A,3.54943E-06
YAL046C,1.68212E-05
YAL049C,0.000141164
YAL059W,8.68316E-05
YAL060W,0.000312986
YAL062W,0.001487902
YAR002C-A,0.000236946
YAR002W,0.000170297
YAR007C,0.000335755
YAR015W,0.000811853
YAR042W,0.000191688
YBL004W,9.29516E-05
YBL007C,0.000377555
YBL015W,0.000131077
YBL017C,0.000297136
YBL020W,6.85646E-05
YBL022C,0.000224482
YBL023C,0.000138216
YBL024W,0.001229514
YBL026W,8.73715E-05
YBL028C,7.85751E-05
YBL029C-A,2.97622E-05
YBL030C,0.001753476
YBL032W,0.000243096
YBL033C,8.33906E-05
YBL035C,4.94512E-05
YBL036C,0.000146237
YBL039C,0.000900007
YBL041W,0.000281666
YBL045C,0.000501755
YBL047C,0.000364754
YBL050W,0.000268342
YBL051C,0.000192848
YBL054W,3.58357E-05
YBL055C,5.63982E-05
YBL056W,0.000101251
YBL057C,7.07558E-05
YBL058W,0.00019851
YBL059C-A,1.64088E-05
YBL064C,0.00052371
YBL068W,0.000343715
YBL069W,4.19074E-05
YBL075C,0.000241531
YBL076C,0.0019527
YBL079W,0.000187696
YBL085W,1.40432E-05
YBL086C,5.27681E-05
YBL090W,7.34218E-05
YBL091C,0.000364314
YBL092W,0.001938154
YBL093C,4.42668E-05
YBL098W,6.26612E-05
YBL099W,0.002346339
YBL103C,7.32181E-05
YBL104C,8.09149E-05
YBL105C,6.32404E-05
YBL107C,6.15172E-05
YBR003W,0.000215632
YBR006W,5.80685E-05
YBR011C,0.00275273
YBR015C,0.000135236
YBR016W,8.88073E-07
YBR017C,0.000360986
YBR024W,8.96999E-06
YBR025C,0.002017484
YBR026C,0.000164597
YBR029C,3.23692E-05
YBR031W,0.000940629
YBR034C,0.00010356
YBR035C,0.000339191
YBR039W,0.000323087
YBR042C,2.52621E-05
YBR046C,0.00012433
YBR049C,0.000276329
YBR052C,0.000108719
YBR053C,0.000193698
YBR054W,6.86589E-05
YBR056W,0.000114596
YBR058C,0.000134405
YBR058C-A,4.91013E-05
YBR069C,8.87637E-05
YBR072W,0.000698301
YBR074W,0
YBR077C,4.80606E-05
YBR078W,0.000931978
YBR079C,0.00055457
YBR080C,0.000204352
YBR081C,0.000912392
YBR082C,8.36601E-05
YBR084W,0.000587883
YBR085C-A,7.12346E-05
YBR086C,0.000371488
YBR087W,6.78753E-05
YBR088C,0.000279869
YBR089C-A,0.000234146
YBR091C,5.24493E-05
YBR092C,0.000882221
YBR094W,0.000114142
YBR095C,0.000110917
YBR096W,6.36882E-05
YBR101C,0.000248635
YBR104W,5.09814E-05
YBR106W,0.000224912
YBR108W,0
YBR109C,0.000231377
YBR111C,0.000216488
YBR111W-A,4.74931E-05
YBR112C,9.66567E-05
YBR115C,0.00240258
YBR117C,0
YBR121C,0.002274737
YBR122C,2.02914E-05
YBR125C,1.42256E-05
YBR126C,0.000532156
YBR127C,0.002267734
YBR131W,0.000107044
YBR135W,0.000129075
YBR137W,2.81708E-05
YBR139W,0.000189224
YBR142W,0.000210593
YBR143C,0.000674372
YBR145W,0.000121742
YBR146W,5.69416E-05
YBR149W,0.000583353
YBR151W,0.000117176
YBR154C,0.000438705
YBR155W,0.000140933
YBR159W,9.58036E-05
YBR160W,0.000153682
YBR162C,0.000535341
YBR164C,8.08724E-05
YBR166C,7.81678E-05
YBR167C,3.79724E-05
YBR169C,0.000313213
YBR170C,0.000149586
YBR171W,5.36919E-05
YBR172C,8.25899E-05
YBR173C,0
YBR176W,0.000122458
YBR177C,0.000305441
YBR185C,6.07323E-06
YBR188C,2.79772E-05
YBR189W,0.00053328
YBR191W,3.92393E-05
YBR196C,0.00464486
YBR198C,0.000139654
YBR199W,7.76068E-05
YBR200W,4.48813E-05
YBR204C,3.35712E-05
YBR205W,0.000133318
YBR212W,7.40052E-05
YBR214W,4.64092E-05
YBR218C,0.000528448
YBR221C,0.001846849
YBR222C,0.000298514
YBR227C,0.000193678
YBR229C,0.000127583
YBR230C,0.000102274
YBR231C,5.39273E-05
YBR233W,9.53688E-05
YBR233W-A,3.79127E-05
YBR234C,9.91481E-05
YBR236C,8.63407E-05
YBR238C,0
YBR244W,7.4173E-05
YBR245C,0.000113025
YBR246W,0.000131076
YBR247C,0.000245573
YBR248C,0.001419429
YBR249C,0.001682894
YBR251W,6.49231E-05
YBR252W,0.000167028
YBR253W,4.13932E-05
YBR256C,9.81413E-05
YBR258C,3.01942E-05
YBR260C,3.26305E-05
YBR261C,8.59101E-05
YBR262C,3.01695E-05
YBR263W,0.000915502
YBR265W,0.000109168
YBR267W,3.93918E-05
YBR269C,8.88497E-05
YBR272C,7.59104E-05
YBR273C,5.13554E-05
YBR278W,3.07935E-06
YBR281C,6.82288E-05
YBR283C,0.000292907
YBR286W,0.000792502
YCL001W,0.000117977
YCL005W-A,4.95371E-05
YCL008C,3.89974E-05
YCL009C,0.001438076
YCL011C,0.000200191
YCL017C,0.00031215
YCL024W,0
YCL026C-B,7.22967E-05
YCL028W,0.000228959
YCL029C,5.09482E-05
YCL030C,0.001475467
YCL031C,6.83436E-05
YCL033C,4.20105E-05
YCL034W,6.99758E-05
YCL035C,0.00012092
YCL037C,0.000699654
YCL040W,0.000714884
YCL043C,0.001482903
YCL044C,6.55239E-05
YCL045C,0.000170391
YCL050C,0.000718102
YCL054W,0.000179601
YCL057C-A,7.33573E-05
YCL057W,0.000281911
YCL059C,0.000203474
YCR002C,0.000307723
YCR004C,0.000645108
YCR005C,0.000203533
YCR009C,0.000255893
YCR012W,0.025201205
YCR017C,9.32194E-05
YCR020W-B,7.26189E-05
YCR028C-A,0.000519831
YCR030C,0.000211763
YCR031C,0
YCR034W,0.000122726
YCR035C,6.88304E-05
YCR036W,0.00011847
YCR046C,4.9709E-05
YCR047C,7.69876E-05
YCR048W,0.000139302
YCR051W,0.000123344
YCR052W,7.97806E-05
YCR053W,0.00155144
YCR057C,0.000168104
YCR060W,3.40917E-05
YCR068W,2.27201E-05
YCR071C,1.34382E-05
YCR072C,4.96666E-05
YCR073W-A,0.000152073
YCR075W-A,4.96519E-05
YCR076C,1.89197E-05
YCR077C,0.000183652
YCR083W,0.000134509
YCR084C,0.000330818
YCR086W,2.31488E-05
YCR087C-A,0.000156965
YCR088W,0.000613257
YCR090C,6.2896E-05
YCR093W,0.000208646
YCR098C,0
YDL002C,5.01533E-06
YDL004W,0.000216601
YDL006W,3.65357E-05
YDL007W,0.000395389
YDL012C,0
YDL014W,0.000483869
YDL015C,9.96581E-05
YDL019C,0.000177179
YDL022W,0.000557789
YDL029W,0.000440904
YDL031W,0.000215188
YDL040C,0.000780601
YDL043C,3.23836E-05
YDL047W,7.59289E-05
YDL051W,0.000466786
YDL052C,0.000101735
YDL053C,7.51232E-05
YDL055C,0.004670901
YDL058W,0.000152941
YDL060W,0.000174643
YDL061C,0.00024703
YDL063C,9.7165E-05
YDL064W,7.44295E-05
YDL065C,0.000165134
YDL066W,0.001281464
YDL072C,0.000174089
YDL074C,2.57913E-05
YDL075W,0.000778786
YDL077C,3.73011E-05
YDL078C,0.000512243
YDL081C,0.001132493
YDL082W,0.00011835
YDL084W,0.00124593
YDL085C-A,4.81407E-05
YDL086W,0.000190515
YDL092W,7.72553E-05
YDL095W,0.000329326
YDL097C,0.000541066
YDL098C,3.42777E-05
YDL099W,6.4763E-05
YDL100C,0.000532763
YDL103C,0.000256935
YDL110C,3.44781E-05
YDL111C,4.61623E-05
YDL112W,0.000104201
YDL113C,3.42464E-05
YDL116W,7.95966E-05
YDL120W,0.000108444
YDL121C,0.000108323
YDL122W,0.000216378
YDL124W,0.00045806
YDL125C,0.000556551
YDL126C,0.002248053
YDL128W,4.0307E-05
YDL130W,0.000286002
YDL130W-A,9.76663E-05
YDL131W,0.001251259
YDL132W,0.000223246
YDL134C,8.25407E-05
YDL135C,0.000294829
YDL137W,0.000150017
YDL140C,0.000631502
YDL143W,0.000404835
YDL144C,7.15241E-05
YDL145C,0.000655767
YDL147W,0.000319532
YDL150W,9.82126E-05
YDL153C,0.000154867
YDL157C,2.63778E-05
YDL160C,0.000726583
YDL161W,9.83872E-05
YDL164C,0.000164204
YDL165W,0.000121379
YDL166C,9.01729E-05
YDL167C,9.73308E-05
YDL168W,0.000276434
YDL171C,0.000757284
YDL173W,8.44396E-05
YDL174C,0.000185516
YDL178W,0.000210385
YDL181W,0.000102219
YDL182W,0.000958338
YDL185W,0.003032006
YDL189W,0
YDL190C,0.001328546
YDL192W,0.000520889
YDL195W,0.000653774
YDL198C,0.000338541
YDL199C,0.000330025
YDL201W,0.00021202
