Protein,phi_calib
Q0045,0.00016735
Q0140,3.30106E-05
Q0250,0.000675369
YAL003W,0.007518832
YAL005C,0.003972872
YAL007C,0.000172273
YAL012W,0.001038432
YAL016W,0.000319045
YAL017W,6.85624E-05
YAL019W,4.40775E-05
YAL021C,0.000387348
YAL023C,0.000404825
YAL025C,4.65513E-05
YAL029C,1.6902E-05
YAL034W-A,0
YAL035W,0.000602251
YAL036C,0.000180541
YAL038W,0.005028858
YAL039C,0.000104055
YAL042W,9.49131E-05
YAL043C,0
YAL044C,0.000450686
YAL044W-A,9.83487E-06
YAL046C,3.1953E-06
YAL049C,0.000460464
YAL059W,1.8955E-05
YAL060W,0.000917422
YAL062W,0.00058977
YAR002C-A,0.000142877
YAR002W,0.000118797
YAR007C,0.000285769
YAR015W,0.000425072
YAR042W,0.000311749
YBL004W,0
YBL007C,0.000576085
YBL015W,0.001191683
YBL017C,0.000361292
YBL020W,5.06131E-05
YBL022C,0.000212803
YBL023C,6.62923E-05
YBL024W,0.000992962
YBL026W,5.52482E-05
YBL028C,1.82588E-05
YBL029C-A,3.16858E-05
YBL030C,0.005011325
YBL032W,0.000215852
YBL033C,0.000104417
YBL035C,3.86749E-05
YBL036C,7.45657E-05
YBL039C,0.00038046
YBL041W,0.000374785
YBL045C,0.002940548
YBL047C,0.000509043
YBL050W,0.000444984
YBL051C,0.000207192
YBL054W,0
YBL055C,9.10242E-05
YBL056W,0.000146732
YBL057C,7.68633E-05
YBL058W,0.000206149
YBL059C-A,4.73733E-05
YBL064C,0.003039181
YBL068W,0.000380116
YBL069W,4.18925E-05
YBL075C,0.000300227
YBL076C,0.000576755
YBL079W,0.000198401
YBL085W,0
YBL086C,6.39874E-05
YBL090W,0.00012195
YBL091C,0.000402529
YBL092W,0.001151015
YBL093C,1.47722E-05
YBL098W,6.80336E-05
YBL099W,0.01545873
YBL103C,1.02295E-05
YBL104C,9.46224E-05
YBL105C,0.000106103
YBL107C,7.97851E-05
YBR003W,0.00018398
YBR006W,0.000181582
YBR011C,0.001813602
YBR015C,0.000170631
YBR016W,4.58177E-06
YBR017C,0.000186426
YBR024W,3.39053E-05
YBR025C,0.001812996
YBR026C,0.000683205
YBR029C,1.78478E-05
YBR031W,0.000141518
YBR034C,0.000108124
YBR035C,0.000251499
YBR039W,0.001417448
YBR042C,5.02126E-05
YBR046C,0.000694584
YBR049C,0.000346413
YBR052C,9.38971E-05
YBR053C,0.00029987
YBR054W,0.000137785
YBR056W,0.000184719
YBR058C,0.000262446
YBR058C-A,6.87806E-05
YBR069C,6.47985E-05
YBR072W,0.004959169
YBR074W,0
YBR077C,3.7455E-05
YBR078W,0.001405107
YBR079C,0.000455147
YBR080C,0.00020348
YBR081C,0.000957926
YBR082C,0
YBR084W,0.000274997
YBR085C-A,5.70959E-05
YBR086C,0.000473404
YBR087W,6.50155E-05
YBR088C,0.000379667
YBR089C-A,0.000601072
YBR091C,8.22425E-05
YBR092C,0.000364149
YBR094W,8.32211E-05
YBR095C,0.000101643
YBR096W,6.01787E-05
YBR101C,7.39585E-05
YBR104W,0
YBR106W,0.000110966
YBR108W,0
YBR109C,0.000126027
YBR111C,0.000304214
YBR111W-A,3.96613E-05
YBR112C,7.11446E-05
YBR115C,0.001565128
YBR117C,0.001461125
YBR121C,0.001597906
YBR122C,4.47592E-05
YBR125C,0
YBR126C,0.001735798
YBR127C,0.002184924
YBR131W,0.000561021
YBR135W,0.000160243
YBR137W,4.85832E-05
