Protein,phi_calib
Q0045,3.0224E-05
Q0140,1.0598E-05
Q0250,6.7376E-05
YAL003W,0.010375005
YAL005C,0.00238951
YAL007C,0.000220851
YAL012W,0.002316175
YAL016W,0.000211959
YAL017W,4.28811E-05
YAL019W,2.99725E-05
YAL021C,0.000208916
YAL023C,0.000246535
YAL025C,7.09638E-05
YAL029C,2.52309E-05
YAL034W-A,4.94048E-05
YAL035W,0.000664215
YAL036C,0.000223883
YAL038W,0.009926047
YAL039C,5.43183E-05
YAL042W,0.000140215
YAL043C,4.49081E-05
YAL044C,0.000578745
YAL044W-A,0
YAL046C,3.42349E-05
YAL049C,0.000100291
YAL059W,0.000133949
YAL060W,0.000219531
YAL062W,0.001776086
YAR002C-A,0.000320077
YAR002W,0.000161831
YAR007C,0.000269255
YAR015W,0.001134683
YAR042W,8.33299E-05
YBL004W,2.02885E-05
YBL007C,0.000279111
YBL015W,7.01975E-05
YBL017C,0.000150099
YBL020W,0.000113906
YBL022C,0.000165162
YBL023C,9.93373E-05
YBL024W,0.000912176
YBL026W,0.000186114
YBL028C,0.000138112
YBL029C-A,5.01038E-05
YBL030C,0.001375076
YBL032W,0.000240581
YBL033C,8.31569E-05
YBL035C,3.50388E-05
YBL036C,0.000192307
YBL039C,0.000721592
YBL041W,0.000380881
YBL045C,0.000381025
YBL047C,0.0002143
YBL050W,0.000288774
YBL051C,0.000181845
YBL054W,1.88709E-05
YBL055C,5.14917E-05
YBL056W,0.000105932
YBL057C,8.93832E-05
YBL058W,0.000198421
YBL059C-A,3.4876E-05
YBL064C,0.000506749
YBL068W,0.000387596
YBL069W,3.5282E-05
YBL075C,0.000193788
YBL076C,0.001239992
YBL079W,7.32238E-05
YBL085W,6.61562E-06
YBL086C,4.01065E-05
YBL090W,8.79987E-05
YBL091C,0.000320133
YBL092W,0.002861916
YBL093C,5.24461E-05
YBL098W,4.60085E-05
YBL099W,0.001848377
YBL103C,4.66875E-05
YBL104C,5.23189E-05
YBL105C,3.53719E-05
YBL107C,0.000101471
YBR003W,0.000200935
YBR006W,2.88859E-05
YBR011C,0.00357814
YBR015C,0.000104439
YBR016W,8.48078E-05
YBR017C,0.000200754
YBR024W,1.71977E-05
YBR025C,0.001752741
YBR026C,0.000162111
YBR029C,5.95028E-05
YBR031W,0.001067087
YBR034C,7.69922E-05
YBR035C,0.000535688
YBR039W,0.000327138
YBR042C,3.34765E-05
YBR046C,0.000123594
YBR049C,0.000171415
YBR052C,0.000109718
YBR053C,0.000185487
YBR054W,4.85619E-05
YBR056W,8.62923E-05
YBR058C,8.51249E-05
YBR058C-A,9.35647E-05
YBR069C,7.11429E-05
YBR072W,0.00038848
YBR074W,0
YBR077C,6.93234E-05
YBR078W,0.001040715
YBR079C,0.000394394
YBR080C,0.000142596
YBR081C,0.000446076
YBR082C,5.28215E-05
YBR084W,0.000359616
YBR085C-A,0.000295757
YBR086C,0.000203599
YBR087W,8.33435E-05
YBR088C,0.000268939
YBR089C-A,0.000290181
YBR091C,7.38309E-05
YBR092C,0.000675778
YBR094W,8.41186E-05
YBR095C,0.000108601
YBR096W,6.02297E-05
YBR101C,0.000287926
YBR104W,5.08109E-05
YBR106W,0.000310078
YBR108W,0
YBR109C,0.000528435
YBR111C,0.0002607
YBR111W-A,6.08113E-05
YBR112C,5.5513E-05
YBR115C,0.001308241
YBR117C,7.70026E-06
YBR121C,0.001921413
YBR122C,2.22878E-05
YBR125C,1.54962E-05
YBR126C,0.000400238
YBR127C,0.002059062
YBR131W,6.68809E-05
YBR135W,0.00015209
YBR137W,2.64743E-05
YBR139W,0.000140533
YBR142W,0.000152057
YBR143C,0.000659492
YBR145W,0.000118796
YBR146W,6.54188E-05
YBR149W,0.000425024
YBR151W,0.000100192
YBR154C,0.000495891
YBR155W,0.000149641
YBR159W,8.94525E-05
YBR160W,0.000124937
YBR162C,0.00041232
YBR164C,0.000103129
YBR166C,6.31431E-05
YBR167C,6.24558E-05
YBR169C,0.000169828
YBR170C,0.000139526
YBR171W,6.58437E-05
YBR172C,5.7123E-05
YBR173C,0
YBR176W,5.24492E-05
YBR177C,0.00018321
YBR185C,1.12127E-05
YBR188C,4.05867E-05
YBR189W,0.000699473
YBR191W,1.2291E-05
YBR196C,0.003855067
YBR198C,9.82658E-05
YBR199W,8.3375E-05
YBR200W,2.99026E-05
YBR204C,1.15648E-05
YBR205W,0.000122316
YBR212W,5.61764E-05
YBR214W,4.20536E-05
YBR218C,0.000188146
YBR221C,0.001788463
YBR222C,0.000182386
YBR227C,0.00016219
YBR229C,6.35709E-05
YBR230C,0.000103881
YBR231C,3.45884E-05
YBR233W,9.08036E-05
YBR233W-A,5.52983E-05
YBR234C,8.90577E-05
YBR236C,8.68083E-05
YBR238C,2.95357E-05
YBR244W,0.000145283
YBR245C,5.23986E-05
YBR246W,0.000157189
YBR247C,0.000192262
YBR248C,0.001190894
YBR249C,0.00159541
YBR251W,0
YBR252W,0.000219725
YBR253W,5.72075E-05
YBR256C,0.000137351
YBR258C,4.31499E-05
YBR260C,3.17259E-05
YBR261C,0.000107036
YBR262C,5.34359E-05
YBR263W,0.000838659
YBR265W,9.26397E-05
YBR267W,3.96316E-05
YBR269C,0.000105015
YBR272C,6.43508E-05
