Protein,phi_calib
Q0045,0.000133328
Q0140,5.08308E-05
Q0250,0.000741867
YAL003W,0.009562641
YAL005C,0.002933037
YAL007C,0.000201056
YAL012W,0.000598876
YAL016W,0.000268084
YAL017W,4.45834E-05
YAL019W,2.90717E-05
YAL021C,0.000298705
YAL023C,0.00029515
YAL025C,3.99625E-05
YAL029C,1.68583E-05
YAL034W-A,1.57847E-05
YAL035W,0.000437067
YAL036C,0.000171437
YAL038W,0.00496139
YAL039C,9.06264E-05
YAL042W,8.05394E-05
YAL043C,3.42832E-05
YAL044C,0.000555995
YAL044W-A,9.47319E-06
YAL046C,1.43496E-05
YAL049C,0.0004043
YAL059W,2.43112E-05
YAL060W,0.001057483
YAL062W,0.000303747
YAR002C-A,0.00023936
YAR002W,0.000118326
YAR007C,0.000233192
YAR015W,0.000581586
YAR042W,0.00019508
YBL004W,0
YBL007C,0.000255482
YBL015W,0.000683663
YBL017C,0.000164583
YBL020W,2.56823E-05
YBL022C,0.000158709
YBL023C,8.80321E-05
YBL024W,0.000887297
YBL026W,0.000128501
YBL028C,3.55562E-05
YBL029C-A,7.90272E-05
YBL030C,0.00472214
YBL032W,0.000207395
YBL033C,9.78609E-05
YBL035C,2.04298E-05
YBL036C,0.000114748
YBL039C,0.00036551
YBL041W,0.000481487
YBL045C,0.002120629
YBL047C,0.000287207
YBL050W,0.000511779
YBL051C,0.000138071
YBL054W,0
YBL055C,7.9206E-05
YBL056W,0.000133253
YBL057C,0.000101325
YBL058W,0.000241633
YBL059C-A,7.194E-05
YBL064C,0.004747325
YBL068W,0.000329394
YBL069W,3.18101E-05
YBL075C,0.000221111
YBL076C,0.000410429
YBL079W,0.000104851
YBL085W,0
YBL086C,1.53441E-05
YBL090W,0.000145738
YBL091C,0.000250189
YBL092W,0.00157291
YBL093C,5.95103E-05
YBL098W,3.85037E-05
YBL099W,0.008472809
YBL103C,1.32676E-05
YBL104C,5.80748E-05
YBL105C,6.02542E-05
YBL107C,9.73294E-05
YBR003W,0.000200818
YBR006W,0.000183604
YBR011C,0.00290853
YBR015C,0.000121534
YBR016W,0.000225612
YBR017C,0.000132952
YBR024W,4.91146E-05
YBR025C,0.001678135
YBR026C,0.00069244
YBR029C,2.06129E-05
YBR031W,0.000234547
YBR034C,0.000110279
YBR035C,0.000448268
YBR039W,0.001095872
YBR042C,3.49481E-05
YBR046C,0.000752475
YBR049C,0.000204482
