Protein,phi_calib
Q0045,7.14249E-05
Q0140,4.00028E-05
Q0250,0.000150194
YAL003W,0.010982906
YAL005C,0.002054748
YAL007C,0.000242897
YAL012W,0.002353571
YAL016W,0.000224975
YAL017W,4.36598E-05
YAL019W,3.43599E-05
YAL021C,0.000230623
YAL023C,0.000311376
YAL025C,8.33382E-05
YAL029C,2.37489E-05
YAL034W-A,1.58106E-05
YAL035W,0.000632466
YAL036C,0.000250995
YAL038W,0.010500466
YAL039C,3.22694E-05
YAL042W,0.000130463
YAL043C,3.74065E-06
YAL044C,0.000679884
YAL044W-A,6.03219E-06
YAL046C,2.77372E-05
YAL049C,0.000169722
YAL059W,0.000111293
YAL060W,0.000311424
YAL062W,0.001370646
YAR002C-A,0.000299484
YAR002W,0.00014613
YAR007C,0.000271086
YAR015W,0.000888652
YAR042W,0.000117095
YBL004W,4.12839E-05
YBL007C,0.000226111
YBL015W,0.000113662
YBL017C,0.000160608
YBL020W,5.72641E-05
YBL022C,0.000139952
YBL023C,9.66297E-05
YBL024W,0.000952301
YBL026W,0.000158148
YBL028C,0.000135681
YBL029C-A,5.41171E-05
YBL030C,0.001887865
YBL032W,0.000242156
YBL033C,8.66901E-05
YBL035C,3.78068E-05
YBL036C,0.000172544
YBL039C,0.000748874
YBL041W,0.00034165
YBL045C,0.000462213
YBL047C,0.000208849
YBL050W,0.000299702
YBL051C,0.000150895
YBL054W,3.11001E-05
YBL055C,5.39851E-05
YBL056W,9.23228E-05
YBL057C,9.14344E-05
YBL058W,0.000189047
YBL059C-A,2.79961E-05
YBL064C,0.000613833
YBL068W,0.000366125
YBL069W,3.96688E-05
YBL075C,0.000191347
YBL076C,0.001246713
YBL079W,0.000103657
YBL085W,9.31868E-06
YBL086C,4.82036E-05
YBL090W,0.000101698
YBL091C,0.000347655
YBL092W,0.003065543
YBL093C,5.58408E-05
YBL098W,5.75609E-05
YBL099W,0.002003803
YBL103C,6.5687E-05
YBL104C,5.23815E-05
YBL105C,3.91604E-05
YBL107C,8.15532E-05
YBR003W,0.000195721
YBR006W,5.15967E-05
YBR011C,0.003097341
