Protein,phi_calib
Q0045,0.000143432
Q0140,3.21044E-05
Q0250,0.000800835
YAL003W,0.009706188
YAL005C,0.003145761
YAL007C,0.000218338
YAL012W,0.001014322
YAL016W,0.000253817
YAL017W,3.93619E-05
YAL019W,2.73583E-05
YAL021C,0.000273647
YAL023C,0.00029828
YAL025C,5.06913E-05
YAL029C,9.36969E-06
YAL034W-A,0
YAL035W,0.000393791
YAL036C,0.000181391
YAL038W,0.004433773
YAL039C,0.000119765
YAL042W,9.06623E-05
YAL043C,0
YAL044C,0.000631891
YAL044W-A,1.66276E-05
YAL046C,5.2416E-06
YAL049C,0.00055075
YAL059W,2.41691E-05
YAL060W,0.00090812
YAL062W,0.00054048
YAR002C-A,0.000179652
YAR002W,0.000101411
YAR007C,0.000229534
YAR015W,0.000462874
YAR042W,0.00018945
YBL004W,0
YBL007C,0.000343222
YBL015W,0.001028011
YBL017C,0.000194274
YBL020W,4.20525E-05
YBL022C,0.000131983
YBL023C,4.61064E-05
YBL024W,0.000765103
YBL026W,9.94851E-05
YBL028C,3.13654E-05
YBL029C-A,5.73166E-05
YBL030C,0.005367477
YBL032W,0.000213904
YBL033C,0.000107987
YBL035C,2.9415E-05
YBL036C,8.75244E-05
YBL039C,0.000314933
YBL041W,0.000452247
YBL045C,0.002694794
YBL047C,0.000289956
YBL050W,0.000494414
YBL051C,0.00016128
YBL054W,0
YBL055C,8.66787E-05
YBL056W,0.000133101
YBL057C,9.88127E-05
YBL058W,0.000195306
YBL059C-A,8.04084E-05
YBL064C,0.003543744
YBL068W,0.000402804
YBL069W,3.94495E-05
YBL075C,0.000236617
YBL076C,0.000366327
YBL079W,0.000109002
YBL085W,0
YBL086C,5.815E-05
YBL090W,0.000168041
YBL091C,0.000382135
YBL092W,0.001811118
YBL093C,1.85381E-05
YBL098W,6.21725E-05
YBL099W,0.013133623
YBL103C,9.12983E-06
YBL104C,6.09383E-05
YBL105C,6.5362E-05
YBL107C,0.000105224
YBR003W,0.000166127
YBR006W,0.000160509
YBR011C,0.002030084
YBR015C,0.000139396
YBR016W,7.25763E-06
YBR017C,0.000126574
YBR024W,3.71831E-05
YBR025C,0.001770902
YBR026C,0.000677806
YBR029C,1.63561E-05
YBR031W,0.00014336
YBR034C,0.000111405
YBR035C,0.000310803
YBR039W,0.001532786
YBR042C,4.88871E-05
YBR046C,0.000728408
YBR049C,0.000248203
