Protein,phi
Q0045,3.84905E-05
Q0140,1.00592E-05
Q0250,4.0331E-05
YAL003W,0.005097012
YAL005C,0.003658508
YAL007C,0.000113239
YAL012W,0.002176345
YAL016W,0.000320986
YAL017W,0.000138671
YAL019W,8.08435E-05
YAL021C,0.00041702
YAL023C,0.000446253
YAL025C,5.17867E-05
YAL029C,8.85126E-05
YAL034W-A,3.40508E-05
YAL035W,0.001587218
YAL036C,0.000197018
YAL038W,0.011836039
YAL039C,3.48464E-05
YAL042W,0.000138772
YAL043C,8.40727E-05
YAL044C,0.000234637
YAL044W-A,0
YAL046C,9.63411E-06
YAL049C,5.88377E-05
YAL059W,6.77227E-05
YAL060W,0.000199995
YAL062W,0.00193571
YAR002C-A,0.00016717
YAR002W,0.000208022
YAR007C,0.000398763
YAR015W,0.000828049
YAR042W,0.00023609
YBL004W,0.000120624
YBL007C,0.000828052
YBL015W,8.80577E-05
YBL017C,0.000565224
YBL020W,0.000155926
YBL022C,0.000446272
YBL023C,0.000205633
YBL024W,0.001487972
YBL026W,4.2166E-05
YBL028C,3.49139E-05
YBL029C-A,1.1232E-05
YBL030C,0.001042831
YBL032W,0.000218598
YBL033C,6.84191E-05
YBL035C,5.89112E-05
YBL036C,0.000117866
YBL039C,0.000996393
YBL041W,0.000218911
YBL045C,0.000415269
YBL047C,0.00070579
YBL050W,0.000201095
YBL051C,0.000289694
YBL054W,2.36272E-05
YBL055C,5.13303E-05
YBL056W,0.000118231
YBL057C,4.43384E-05
YBL058W,0.000200165
YBL059C-A,9.06595E-06
YBL064C,0.000315423
YBL068W,0.00030134
YBL069W,3.60969E-05
YBL075C,0.000299939
YBL076C,0.003170106
YBL079W,0.000262291
YBL085W,1.54617E-05
YBL086C,4.45719E-05
YBL090W,3.71458E-05
YBL091C,0.00032142
YBL092W,0.000887279
YBL093C,2.75167E-05
YBL098W,5.04726E-05
YBL099W,0.002402411
YBL103C,5.41125E-05
YBL104C,0.000129514
YBL105C,9.70942E-05
YBL107C,4.74306E-05
YBR003W,0.000226661
YBR006W,3.42376E-05
YBR011C,0.002449059
YBR015C,0.000148695
YBR016W,2.58884E-05
YBR017C,0.000439508
YBR024W,1.23451E-05
YBR025C,0.001646926
YBR026C,0.000146912
YBR029C,6.48506E-05
YBR031W,0.000921231
YBR034C,6.38979E-05
YBR035C,0.000291278
YBR039W,0.000242634
YBR042C,3.1695E-05
YBR046C,9.84476E-05
YBR049C,0.000331126
YBR052C,5.49488E-05
YBR053C,0.000158364
YBR054W,3.98396E-05
YBR056W,0.000103103
YBR058C,0.000158551
YBR058C-A,1.7851E-05
YBR069C,0.000105022
YBR072W,0.000198263
YBR074W,0
YBR077C,2.67827E-05
YBR078W,0.001064754
YBR079C,0.000906708
YBR080C,0.000257772
YBR081C,0.001417012
YBR082C,1.86437E-05
YBR084W,0.000836187
YBR085C-A,5.99535E-05
YBR086C,0.000459331
YBR087W,7.03615E-05
YBR088C,0.000165476
YBR089C-A,6.85117E-05
YBR091C,1.91922E-05
YBR092C,0.000752629
YBR094W,0.000151059
YBR095C,0.000111369
YBR096W,3.30369E-05
YBR101C,0.000199131
YBR104W,3.98669E-05
YBR106W,0.000139024
YBR108W,0
YBR109C,0.000185255
YBR111C,0.00014362
YBR111W-A,1.39225E-05
YBR112C,0.000127889
YBR115C,0.004342973
YBR117C,1.25058E-05
YBR121C,0.003161768
YBR122C,9.40805E-06
YBR125C,1.45237E-05
YBR126C,0.00047248
YBR127C,0.002538751
YBR131W,0.000112288
YBR135W,5.44067E-05
YBR137W,1.13015E-05
YBR139W,0.000170256
YBR142W,0.000280315
YBR143C,0.000687308
YBR145W,9.94418E-05
YBR146W,4.33718E-05
YBR149W,0.000348684
YBR151W,7.55057E-05
YBR154C,0.000254264
YBR155W,0.000137395
YBR159W,7.40256E-05
YBR160W,8.8791E-05
YBR162C,0.00044741
YBR164C,4.50082E-05
YBR166C,6.8065E-05
YBR167C,2.08526E-05
YBR169C,0.000280675
YBR170C,0.000192994
YBR171W,3.23476E-05
YBR172C,0.00010081
YBR173C,0
YBR176W,3.90259E-05
YBR177C,0.000197054
YBR185C,7.43389E-06
YBR188C,1.3551E-05
YBR189W,0.000325286
YBR191W,4.68994E-06
YBR196C,0.005093329
YBR198C,0.00018701
YBR199W,9.22601E-05
YBR200W,3.92935E-05
YBR204C,1.03426E-05
YBR205W,0.000117849
YBR212W,9.00292E-05
YBR214W,5.28535E-05
YBR218C,0.000529466
YBR221C,0.001561066
YBR222C,0.000236185
YBR227C,0.000201135
YBR229C,0.000144633
YBR230C,3.31973E-05
YBR231C,2.49938E-05
YBR233W,8.94362E-05
YBR233W-A,1.23965E-05
YBR234C,8.15573E-05
YBR236C,9.02626E-05
YBR238C,5.14903E-05
YBR244W,5.61294E-05
YBR245C,0.000141083
YBR246W,0.000145076
YBR247C,0.000221463
YBR248C,0.001567733
YBR249C,0.001407778
YBR251W,0
YBR252W,7.70296E-05
