Protein,phi
Q0045,0.00017384
Q0140,4.93966E-05
Q0250,0.00045466
YAL003W,0.004809854
YAL005C,0.004597688
YAL007C,0.000105546
YAL012W,0.00057613
YAL016W,0.000415654
YAL017W,0.000147611
YAL019W,8.02824E-05
YAL021C,0.000610456
YAL023C,0.00054698
YAL025C,2.9858E-05
YAL029C,6.05499E-05
YAL034W-A,1.11384E-05
YAL035W,0.001069308
YAL036C,0.000154461
YAL038W,0.006057037
YAL039C,5.95242E-05
YAL042W,8.161E-05
YAL043C,6.57109E-05
YAL044C,0.000230784
YAL044W-A,2.54434E-06
YAL046C,4.13437E-06
YAL049C,0.000242843
YAL059W,1.25843E-05
YAL060W,0.000986333
YAL062W,0.000338934
YAR002C-A,0.000127992
YAR002W,0.000155724
YAR007C,0.000353583
YAR015W,0.000434532
YAR042W,0.00056587
YBL004W,0
YBL007C,0.00077601
YBL015W,0.000878041
YBL017C,0.000634532
YBL020W,3.59942E-05
YBL022C,0.000439054
YBL023C,0.000186572
YBL024W,0.001481876
YBL026W,2.9807E-05
YBL028C,9.20255E-06
YBL029C-A,1.81381E-05
YBL030C,0.003666509
YBL032W,0.000192934
YBL033C,8.24357E-05
YBL035C,3.51674E-05
YBL036C,7.20055E-05
YBL039C,0.000516731
YBL041W,0.000283327
YBL045C,0.002366288
YBL047C,0.000968448
YBL050W,0.000364882
YBL051C,0.000225199
YBL054W,0
YBL055C,8.08391E-05
YBL056W,0.000152268
YBL057C,5.14596E-05
YBL058W,0.000249565
YBL059C-A,1.91463E-05
YBL064C,0.003025355
YBL068W,0.000262192
YBL069W,3.33203E-05
YBL075C,0.000350382
YBL076C,0.001074287
YBL079W,0.000384531
YBL085W,0
YBL086C,1.74588E-05
YBL090W,6.29843E-05
YBL091C,0.00025718
YBL092W,0.000499268
YBL093C,3.1967E-05
YBL098W,4.32462E-05
YBL099W,0.011274851
YBL103C,1.5744E-05
YBL104C,0.000147188
YBL105C,0.000169336
YBL107C,4.65787E-05
YBR003W,0.000231926
YBR006W,0.000222806
YBR011C,0.002038179
YBR015C,0.000177157
YBR016W,7.05114E-05
YBR017C,0.000298006
YBR024W,3.60964E-05
YBR025C,0.001614396
YBR026C,0.00064247
YBR029C,2.30007E-05
YBR031W,0.000207313
YBR034C,9.37044E-05
YBR035C,0.000249551
YBR039W,0.00083216
YBR042C,3.38767E-05
YBR046C,0.000613656
YBR049C,0.000404416
YBR052C,6.53549E-05
YBR053C,0.000366121
YBR054W,0.000131855
YBR056W,0.000277613
YBR058C,0.00040998
YBR058C-A,2.96021E-05
YBR069C,5.57915E-05
YBR072W,0.007623674
YBR074W,0
YBR077C,2.78639E-05
YBR078W,0.00154477
YBR079C,0.000737005
YBR080C,0.000226794
YBR081C,0.002192455
YBR082C,6.40731E-06
YBR084W,0.000380921
YBR085C-A,3.86044E-05
YBR086C,0.000802452
YBR087W,4.46488E-05
YBR088C,0.000248838
YBR089C-A,0.000193918
YBR091C,3.21365E-05
YBR092C,0.000435695
YBR094W,0.000155404
YBR095C,0.000114466
YBR096W,4.38284E-05
YBR101C,7.27429E-05
YBR104W,1.31238E-06
YBR106W,0.00010729
YBR108W,0.000126785
YBR109C,0.000113854
YBR111C,0.000269641
YBR111W-A,1.71383E-05
YBR112C,0.000144048
YBR115C,0.002803307
YBR117C,0.002919131
YBR121C,0.002181753
YBR122C,2.4452E-05
YBR125C,1.08297E-05
YBR126C,0.002505167
YBR127C,0.002083743
YBR131W,0.000479985
YBR135W,6.24798E-05
YBR137W,1.05176E-05
YBR139W,0.000648596
YBR142W,0.000227833
YBR143C,0.000412167
YBR145W,5.42127E-05
YBR146W,4.4924E-05
YBR149W,0.001745095
YBR151W,8.07709E-05
YBR154C,0.000195252
YBR155W,9.67816E-05
YBR159W,7.36287E-05
YBR160W,0.000162399
YBR162C,0.000238722
YBR164C,4.05069E-05
YBR166C,9.17082E-05
YBR167C,2.15294E-05
YBR169C,0.001182929
YBR170C,0.000219674
YBR171W,3.01035E-05
YBR172C,0.000100055
YBR173C,1.17998E-05
YBR176W,5.3324E-05
YBR177C,0.00011675
YBR185C,2.19085E-05
YBR188C,1.03309E-05
YBR189W,0.000114634
YBR191W,3.35567E-05
YBR196C,0.005411887
YBR198C,0.000216824
YBR199W,7.31373E-05
YBR200W,7.10673E-05
YBR204C,3.03943E-05
YBR205W,0.000168865
YBR212W,0.000195984
YBR214W,0.000253357
YBR218C,0.00051542
YBR221C,0.002477979
YBR222C,0.000531944
YBR227C,0.000215117
YBR229C,0.000262695
YBR230C,0.000256261
YBR231C,7.57661E-06
YBR233W,8.21133E-05
YBR233W-A,1.89082E-05
YBR234C,9.10363E-05
YBR236C,0.000129105
YBR238C,4.09133E-05
YBR244W,3.71129E-05
YBR245C,0.000161324
YBR246W,6.82907E-05
YBR247C,0.000119175
YBR248C,0.001338712
YBR249C,0.001098686
YBR251W,8.44778E-05
YBR252W,9.00789E-05
YBR253W,1.66058E-05
YBR256C,0.000123426
YBR258C,4.37746E-06
YBR260C,1.48187E-05
YBR261C,6.22589E-05
YBR262C,2.68049E-05
YBR263W,0.000918552
YBR265W,9.94969E-05
YBR267W,7.67124E-06
YBR269C,0.000165786
YBR272C,5.76775E-05
YBR273C,9.12136E-05
YBR278W,5.45129E-06
YBR281C,0.000116873
YBR283C,0.000162977
YBR286W,0.000757739
YCL001W,5.7475E-05
YCL005W-A,1.43468E-05
YCL008C,2.64287E-05
YCL009C,0.001282945
YCL011C,0.000126112
YCL017C,0.000788627
YCL024W,0
YCL026C-B,7.52744E-05
YCL028W,0.000581931
YCL029C,2.95144E-05
YCL030C,0.000441351
YCL031C,3.07665E-05
YCL033C,7.65176E-05
YCL034W,6.01991E-05
YCL035C,0.000162716
YCL037C,0.000255951
YCL040W,0.00731758
YCL043C,0.002029362
YCL044C,8.94234E-05
YCL045C,0.000258806
YCL050C,0.000363578
YCL054W,0.000125735
YCL057C-A,5.45454E-05
YCL057W,0.000344525
YCL059C,0.000111631
YCR002C,0.000237923
YCR004C,0.001096688
YCR005C,0.000175544
YCR009C,0.000130312
YCR012W,0.018681671
YCR017C,0.000152003
YCR020W-B,2.19733E-05
YCR028C-A,0.000704313
YCR030C,0.00050663
YCR031C,0
YCR034W,0.000113457
YCR035C,5.57195E-05
YCR036W,0.00010389
YCR046C,2.1713E-05
YCR047C,0
YCR048W,7.31743E-05
YCR051W,8.26231E-05
YCR052W,9.0602E-05
YCR053W,0.001056176
YCR057C,0.000139893
YCR060W,2.02735E-05
YCR068W,4.70592E-05
YCR071C,2.05542E-05
YCR072C,3.43852E-05
YCR073W-A,0.000292703
YCR075W-A,1.29063E-05
YCR076C,1.20682E-05
YCR077C,0.000331171
YCR083W,0.000457778
YCR084C,0.000444099
YCR086W,2.6633E-05
YCR087C-A,3.97477E-05
YCR088W,0.001143593
YCR090C,2.99726E-05
YCR093W,0.000522218
YCR098C,2.65984E-05
YDL002C,0
YDL004W,0.000581465
YDL006W,0
YDL007W,0.000412436
YDL012C,1.14749E-05
YDL014W,0.000170191
YDL015C,8.79338E-05
YDL019C,0.000407341
YDL022W,0.001385834
YDL029W,0.000783722
YDL031W,0.000273344
YDL040C,0.000291518
YDL043C,7.13519E-06
YDL047W,7.81577E-05
YDL051W,0.000244368
YDL052C,3.77641E-05
YDL053C,4.65912E-05
YDL055C,0.002922583
YDL058W,0.000177276
YDL060W,0.00012442
YDL061C,6.87122E-05
YDL063C,3.98587E-05
YDL064W,2.86933E-05
YDL065C,0.000152017
YDL066W,0.000954774
YDL072C,0.000184921
YDL074C,6.74741E-06
YDL075W,0.000263736
YDL077C,0
YDL078C,0.000658723
YDL081C,0.000201716
YDL082W,0.000104131
YDL084W,0.000882803
YDL085C-A,7.27902E-06
YDL086W,0.00025745
YDL092W,4.76713E-05
YDL095W,0.000362321
YDL097C,0.000687011
YDL098C,1.54548E-05
YDL099W,7.50551E-05
YDL100C,0.000335889
YDL103C,0.000417595
YDL110C,4.06724E-05
YDL111C,3.18E-05
YDL112W,0.00019729
YDL113C,5.46862E-05
YDL116W,7.62237E-05
YDL120W,5.41121E-05
YDL121C,4.61042E-05
YDL122W,0.000361576
YDL124W,0.001260823
YDL125C,0.000371236
YDL126C,0.005027946
YDL128W,2.33753E-05
YDL130W,8.03259E-05
YDL130W-A,0.000358037
YDL131W,0.000660486
YDL132W,0.00034059
YDL134C,0.000120977
YDL135C,0.000192633
YDL137W,0.000162354
YDL140C,0.001134997
YDL143W,0.000383564
