Protein,phi
Q0045,0.000183557
Q0140,3.0622E-05
Q0250,0.000481728
YAL003W,0.004791828
YAL005C,0.004840009
YAL007C,0.0001125
YAL012W,0.000957761
YAL016W,0.00038626
YAL017W,0.000127915
YAL019W,7.41544E-05
YAL021C,0.00054891
YAL023C,0.000542565
YAL025C,3.7174E-05
YAL029C,3.30311E-05
YAL034W-A,0
YAL035W,0.000945625
YAL036C,0.000160408
YAL038W,0.005312866
YAL039C,7.72092E-05
YAL042W,9.01696E-05
YAL043C,0
YAL044C,0.00025744
YAL044W-A,4.38338E-06
YAL046C,1.48228E-06
YAL049C,0.000324695
YAL059W,1.22795E-05
YAL060W,0.000831365
YAL062W,0.000591945
YAR002C-A,9.42889E-05
YAR002W,0.000130996
YAR007C,0.000341605
YAR015W,0.000339445
YAR042W,0.000539382
YBL004W,0
YBL007C,0.001023248
YBL015W,0.001295893
YBL017C,0.000735162
YBL020W,5.78482E-05
YBL022C,0.000358372
YBL023C,9.59104E-05
YBL024W,0.001254184
YBL026W,2.26499E-05
YBL028C,7.96788E-06
YBL029C-A,1.2912E-05
YBL030C,0.004090559
YBL032W,0.000195312
YBL033C,8.92841E-05
YBL035C,4.96986E-05
YBL036C,5.39073E-05
YBL039C,0.000437001
YBL041W,0.000261203
YBL045C,0.002951393
YBL047C,0.000959648
YBL050W,0.000345987
YBL051C,0.000258192
YBL054W,0
YBL055C,8.68309E-05
YBL056W,0.000149284
YBL057C,4.92563E-05
YBL058W,0.000197989
YBL059C-A,2.10046E-05
YBL064C,0.002216604
YBL068W,0.0003147
YBL069W,4.05587E-05
YBL075C,0.000368024
YBL076C,0.000941129
YBL079W,0.000392366
YBL085W,0
YBL086C,6.49414E-05
YBL090W,7.1281E-05
YBL091C,0.000385553
YBL092W,0.000564255
YBL093C,9.77402E-06
YBL098W,6.85396E-05
YBL099W,0.017154039
YBL103C,1.06337E-05
YBL104C,0.000151591
YBL105C,0.000180296
YBL107C,4.94259E-05
YBR003W,0.000188316
YBR006W,0.00019118
YBR011C,0.001396308
YBR015C,0.000199439
YBR016W,2.22633E-06
YBR017C,0.000278467
YBR024W,2.68224E-05
YBR025C,0.001672154
YBR026C,0.000617269
YBR029C,1.79136E-05
YBR031W,0.000124372
YBR034C,9.29116E-05
YBR035C,0.000169827
YBR039W,0.001142424
YBR042C,4.65125E-05
YBR046C,0.000583051
YBR049C,0.000481812
YBR052C,6.05012E-05
YBR053C,0.000261874
YBR054W,0.000117621
YBR056W,0.000195374
YBR058C,0.000357518
YBR058C-A,2.55667E-05
YBR069C,7.73171E-05
YBR072W,0.003229917
YBR074W,0
YBR077C,2.08152E-05
YBR078W,0.001360368
YBR079C,0.000699073
YBR080C,0.000272508
YBR081C,0.001769073
YBR082C,0
YBR084W,0.000425115
YBR085C-A,2.19695E-05
YBR086C,0.000719344
YBR087W,5.64151E-05
YBR088C,0.000275088
YBR089C-A,0.000252281
YBR091C,3.6465E-05
YBR092C,0.00037003
YBR094W,0.000111033
YBR095C,9.85376E-05
YBR096W,4.08389E-05
YBR101C,5.72798E-05
YBR104W,0
YBR106W,6.71283E-05
YBR108W,0
YBR109C,6.62647E-05
YBR111C,0.000206959
YBR111W-A,1.63572E-05
YBR112C,0.000109402
YBR115C,0.00296395
YBR117C,0.001840889
YBR121C,0.002028344
YBR122C,2.61622E-05
YBR125C,0
YBR126C,0.001823352
YBR127C,0.002352732
YBR131W,0.000720347
YBR135W,8.52312E-05
YBR137W,2.85798E-05
YBR139W,0.000448522
YBR142W,0.00021778
YBR143C,0.000376758
YBR145W,8.52992E-05
YBR146W,4.14502E-05
YBR149W,0.0017383
YBR151W,0.000106756
YBR154C,0.000252831
YBR155W,9.25637E-05
YBR159W,4.81568E-05
YBR160W,0.000163406
YBR162C,0.000152384
YBR164C,4.08526E-05
YBR166C,7.64614E-05
YBR167C,1.3684E-05
YBR169C,0.000868014
YBR170C,0.000211134
YBR171W,2.63878E-05
YBR172C,0.000140387
YBR173C,1.97154E-05
YBR176W,1.52358E-05
YBR177C,0.000177682
YBR185C,2.22609E-05
YBR188C,9.86686E-06
YBR189W,0.000163256
YBR191W,3.6376E-05
YBR196C,0.005001287
YBR198C,0.000242021
YBR199W,8.69661E-05
YBR200W,7.26015E-05
YBR204C,1.48966E-05
YBR205W,0.000153936
YBR212W,0.000193547
YBR214W,0.00014321
YBR218C,0.000705481
YBR221C,0.00258156
YBR222C,0.000518482
YBR227C,0.000180657
YBR229C,0.000247754
YBR230C,0.000169843
YBR231C,0
YBR233W,2.98367E-05
YBR233W-A,2.09361E-05
YBR234C,6.8565E-05
YBR236C,0.000105001
YBR238C,0
YBR244W,2.35051E-05
YBR245C,0.00016474
YBR246W,4.5622E-05
YBR247C,0.00011031
YBR248C,0.001578946
YBR249C,0.001090957
YBR251W,0.000104324
YBR252W,9.96045E-05
YBR253W,2.14612E-05
YBR256C,0.000123878
YBR258C,7.81747E-06
YBR260C,0
YBR261C,5.8098E-05
YBR262C,3.28206E-05
YBR263W,0.000957859
YBR265W,0.000211336
YBR267W,1.46026E-05
YBR269C,0.00019605
YBR272C,6.22068E-05
YBR273C,9.05494E-05
YBR278W,0
YBR281C,0.000126023
YBR283C,0.000155301
YBR286W,0.00041944
YCL001W,3.71219E-05
YCL005W-A,2.03696E-05
YCL008C,5.35906E-05
YCL009C,0.001535661
YCL011C,0.000132282
YCL017C,0.000611545
YCL024W,0
YCL026C-B,0.000130852
YCL028W,0.000429979
YCL029C,0
YCL030C,0.000632965
YCL031C,0
YCL033C,6.79105E-05
YCL034W,8.04172E-05
YCL035C,0.000139917
YCL037C,0.000296563
YCL040W,0.006607906
YCL043C,0.001377298
YCL044C,8.1287E-05
YCL045C,0.000264354
YCL050C,0.000392136
YCL054W,0
YCL057C-A,5.19529E-05
YCL057W,0.00032785
YCL059C,9.8044E-05
YCR002C,0.000257688
YCR004C,0.001047305
YCR005C,0.000135004
YCR009C,0.000146227
YCR012W,0.020293772
YCR017C,0.000111706
YCR020W-B,1.83145E-05
YCR028C-A,0.000709724
YCR030C,0.000446907
YCR031C,0.000357152
YCR034W,0.000122823
YCR035C,1.87386E-05
YCR036W,0.000106248
YCR046C,1.4843E-05
YCR047C,2.15569E-05
YCR048W,4.56137E-05
YCR051W,0.000114273
YCR052W,9.61538E-05
YCR053W,0.001016587
YCR057C,0.000107384
YCR060W,1.96081E-05
YCR068W,5.59642E-05
YCR071C,7.35526E-06
YCR072C,4.30026E-05
YCR073W-A,0.000335841
YCR075W-A,1.22641E-05
YCR076C,6.34179E-06
YCR077C,0.000304275
YCR083W,0.000391392
YCR084C,0.00046849
YCR086W,2.7866E-05
YCR087C-A,3.73039E-05
YCR088W,0.001248581
YCR090C,3.56303E-05
YCR093W,0.000628789
YCR098C,0
YDL002C,0
YDL004W,0.001053038
YDL006W,2.91105E-05
YDL007W,0.000436071
YDL012C,1.1369E-06
YDL014W,0.000161809
YDL015C,7.46625E-05
YDL019C,0.00036053
YDL022W,0.001129245
YDL029W,0.000697819
YDL031W,0.00027787
YDL040C,0.000819943
YDL043C,0
YDL047W,7.79143E-05
YDL051W,0.000273732
YDL052C,3.90693E-05
YDL053C,4.81953E-05
YDL055C,0.003248506
YDL058W,0.000181797
YDL060W,0.000123348
YDL061C,7.85446E-05
YDL063C,0
YDL064W,4.21194E-05
YDL065C,0.000148742
YDL066W,0.001266731
YDL072C,0.000176893
YDL074C,0
YDL075W,0.000266592
YDL077C,8.33622E-05
YDL078C,0.00100365
YDL081C,0.000169991
YDL082W,0.00012835
YDL084W,0.001016836
YDL085C-A,8.82729E-06
YDL086W,0.000240341
YDL092W,4.47062E-05
YDL095W,0.000336855
YDL097C,0.000534447
YDL098C,1.87457E-05
YDL099W,7.93263E-05
YDL100C,0.000238973
YDL103C,0.000450216
YDL110C,2.97339E-05
YDL111C,3.4561E-05
YDL112W,0.000118166
YDL113C,5.4591E-05
YDL116W,0
YDL120W,5.41403E-05
YDL121C,3.64739E-05
YDL122W,0.000377185
YDL124W,0.001064357
YDL125C,0.000455509
YDL126C,0.004008936
YDL128W,1.26748E-05
YDL130W,0.0001152
YDL130W-A,0.000422651
YDL131W,0.000720967
YDL132W,0.000257732
YDL134C,0.000110366
YDL135C,0.000233795
YDL137W,0.000193871
YDL140C,0.001207423
YDL143W,0.000330194
YDL144C,0.000149711
YDL145C,0.001059324
YDL147W,0.000265175
YDL150W,4.28563E-05
YDL153C,0.000121583
YDL157C,0
YDL160C,0.000523201
YDL161W,0.000119481
YDL164C,0.000218005
YDL165W,8.07246E-05
YDL166C,5.64851E-05
YDL167C,0
YDL168W,0.000357443
YDL171C,0.001154176
YDL173W,0.000107335
YDL174C,0.000448865
YDL178W,0.000431987
YDL181W,0.00068331
YDL182W,0.000147844
YDL185W,0.004126217
YDL189W,2.64942E-05
YDL190C,0.001717768
YDL192W,8.68105E-05
YDL195W,0.00124451
YDL198C,0.000107897
YDL199C,0.00030001
YDL201W,7.58618E-05
YDL202W,0
YDL203C,0
YDL204W,0.000100245
YDL205C,9.36275E-05
YDL208W,7.10526E-05
YDL211C,6.84867E-06
YDL212W,1.67435E-05
YDL213C,0.00012358
YDL215C,0.001898236
YDL217C,2.66433E-05
YDL219W,3.015E-05
YDL223C,0.00053706
YDL224C,2.50506E-05
YDL225W,0.000224276
YDL226C,0.000166588
YDL229W,0.004635645
YDL235C,9.12503E-05
YDL236W,7.86499E-05
YDL237W,6.92971E-05
YDR001C,0.0010039
YDR002W,9.42246E-05
YDR005C,2.88566E-05
YDR007W,6.85126E-06
YDR011W,0.000352811
YDR012W,0
YDR016C,2.08573E-05
YDR017C,0.000296557
YDR019C,0.00022812
YDR023W,0.001266346
YDR028C,0.000661043
YDR031W,5.52678E-05
YDR032C,0.00083914
YDR033W,0.000296956
YDR035W,0.000552387
YDR036C,0.000602513
YDR037W,0.000834394
YDR041W,1.02438E-05
YDR044W,8.94866E-05
YDR050C,0.00282376
YDR051C,8.31076E-05
YDR054C,4.77374E-05
YDR055W,0.000643273
YDR060W,0.000183262
YDR062W,0.000126661
YDR063W,0.000145918
YDR064W,0.000997412
YDR068W,4.24176E-05
YDR070C,0.000113869
YDR071C,0.000711694
YDR074W,0.00079962
YDR076W,0
YDR083W,6.4741E-05
YDR084C,4.96384E-05
YDR086C,0.00030737
YDR087C,2.95775E-06
YDR091C,0.000306276
YDR092W,3.67837E-05
YDR098C,0.000192502
YDR099W,0.000247551
YDR101C,0.000569705
YDR116C,7.3982E-05
YDR117C,8.03882E-05
YDR119W,1.67793E-05
YDR120C,0.000154291
YDR121W,0.000135843
YDR127W,0.002130362
YDR129C,0.001072213
YDR135C,0.000358242
YDR138W,0
YDR141C,0.000160489
YDR143C,2.66852E-05
YDR145W,0.000208736
YDR148C,0.00309671
YDR150W,0.000878084
YDR152W,7.46916E-05
YDR153C,6.29266E-05
YDR155C,0.001569354
YDR156W,9.23313E-06
YDR158W,0.000917902
YDR165W,6.399E-05
YDR167W,2.14626E-05
YDR168W,0.000543169
YDR169C,0.000116155
YDR170C,0.000585743
YDR172W,0.000464593
YDR174W,0.00028013
YDR175C,0.000156986
YDR176W,4.71782E-05
YDR177W,0.000109664
YDR178W,0.000849187
YDR182W,0.000102051
YDR183W,3.134E-05
YDR188W,0.00029675
YDR189W,0.000110955
YDR190C,0.000497028
