ORF,Xi
YPR204W,0
YPR203W,0
YPR202W,0
YPR201W,1.03922E-06
YPR200C,5.1961E-07
YPR199C,7.34876E-06
YPR198W,1.85575E-05
YPR196W,2.00421E-06
YPR195C,7.42299E-08
YPR194C,2.82074E-06
YPR193C,4.4538E-07
YPR192W,1.11345E-06
YPR191W,0.000141111
YPR190C,7.46753E-05
YPR189W,0.000118619
YPR188C,7.06669E-05
YPR187W,0.000172956
YPR186C,1.40295E-05
YPR185W,1.7741E-05
YPR184W,8.23952E-06
YPR183W,0.000458667
YPR182W,3.72634E-05
YPR181C,0.000454658
YPR180W,5.55982E-05
YPR179C,2.35309E-05
YPR178W,2.27886E-05
YPR176C,4.34245E-05
YPR175W,3.54077E-05
YPR174C,2.37536E-05
YPR173C,6.86627E-05
YPR172W,8.20983E-05
YPR171W,3.18446E-05
YPR170W-B,0.000177929
YPR169W,7.54919E-05
YPR168W,1.45491E-05
YPR167C,1.20995E-05
YPR166C,5.12187E-05
YPR165W,0.000315997
YPR164W,3.33292E-05
YPR163C,0.001010195
YPR162C,2.46443E-05
YPR161C,6.35408E-05
YPR160W,1.32129E-05
YPR159C-A,0
YPR159W,0.000172585
YPR158C-C,0
YPR158C-D,0
YPR158W-A,0
YPR158W-B,0
YPR158W,3.00631E-05
YPR157W,3.04343E-06
YPR156C,4.32018E-05
YPR155C,1.50687E-05
YPR154W,7.037E-05
YPR153W,3.56304E-06
YPR152C,2.15267E-05
YPR151C,1.11345E-06
YPR149W,0.000396165
YPR148C,0.000105035
YPR147C,3.65211E-05
YPR145C-A,1.03922E-06
YPR145W,0.001064309
YPR144C,9.02636E-05
YPR143W,8.10591E-05
YPR141C,2.42732E-05
YPR140W,1.21737E-05
YPR139C,3.38489E-05
YPR138C,4.82495E-06
YPR137C-A,0
YPR137C-B,0
YPR137W,0.000102734
YPR135W,4.47607E-05
YPR134W,9.72412E-06
YPR133W-A,0.000103848
YPR133C,0.000133317
YPR132W,0.00110803
YPR131C,2.89497E-05
YPR129W,0.000188767
YPR128C,4.39441E-05
YPR127W,2.05617E-05
YPR125W,6.80689E-05
YPR124W,7.89807E-05
YPR122W,2.44959E-06
YPR121W,1.11345E-06
YPR120C,2.21205E-05
YPR119W,6.0052E-05
YPR118W,0.000170209
YPR117W,7.42299E-07
YPR116W,7.86837E-06
YPR115W,1.51429E-05
YPR114W,3.21416E-05
YPR113W,0.000143932
YPR112C,0.000231078
YPR111W,1.81121E-05
YPR110C,0.000314587
YPR109W,8.46221E-06
YPR108W-A,0
YPR108W,0.000279995
YPR107C,2.26401E-05
YPR106W,1.80379E-05
YPR105C,2.94693E-05
YPR104C,3.35519E-05
YPR103W,0.000292911
YPR102C,0.000705184
YPR101W,1.87802E-05
YPR100W,5.24063E-05
YPR098C,2.6797E-05
YPR097W,7.71249E-05
YPR096C,2.9692E-07
YPR095C,1.49202E-05
YPR094W,2.07844E-05
YPR093C,6.60647E-06
YPR091C,2.61289E-05
YPR089W,6.42831E-05
YPR088C,0.000290684
YPR086W,9.82062E-05
YPR085C,6.82916E-06
YPR084W,9.27874E-06
YPR083W,8.98182E-06
YPR082C,1.78894E-05
YPR081C,1.38068E-05
YPR080W,0.000952519
YPR079W,1.31387E-05
YPR078C,2.9692E-07
YPR075C,3.9045E-05
YPR074C,0.001766747
YPR073C,9.83547E-05
YPR072W,0.000159075
YPR071W,6.38378E-06
YPR070W,2.17494E-05
YPR069C,0.000526736
YPR068C,5.41879E-06
YPR067W,1.61079E-05
YPR066W,7.12607E-06
YPR065W,7.98714E-05
YPR064W,7.42299E-08
YPR063C,0.000132055
YPR062W,0.000270865
YPR061C,6.75493E-06
YPR060C,7.83868E-05
YPR058W,7.3933E-05
YPR057W,5.27033E-06
YPR056W,2.78362E-05
YPR055W,4.14945E-05
YPR054W,2.9692E-07
YPR053C,2.2269E-07
YPR052C,4.89175E-05
YPR051W,4.55772E-05
YPR049C,2.34567E-05
YPR048W,5.02537E-05
YPR047W,1.26191E-05
YPR046W,1.13572E-05
YPR045C,4.95114E-05
YPR043W,0.001631277
YPR042C,7.28938E-05
YPR041W,0.00052874
YPR040W,3.59273E-05
YPR037C,1.88544E-05
YPR036W-A,0.00081794
YPR036W,0.000559397
YPR035W,0.001626898
YPR034W,6.1982E-05
YPR033C,0.000671633
YPR032W,5.35198E-05
YPR031W,1.67017E-05
YPR030W,1.63306E-06
YPR029C,6.77719E-05
YPR028W,0.000283113
YPR027C,4.4538E-07
YPR026W,5.64148E-06
YPR025C,2.99889E-05
YPR024W,0.000123073
YPR023C,6.47285E-05
YPR022C,3.79315E-05
YPR021C,1.20253E-05
YPR020W,4.20884E-05
YPR019W,7.11123E-05
YPR018W,4.12718E-05
YPR017C,2.13782E-05
YPR016C,0.000230855
YPR015C,1.26191E-06
YPR014C,0
YPR013C,3.48881E-06
YPR011C,1.23222E-05
YPR010C-A,2.47186E-05
YPR010C,0.000607052
YPR009W,3.11766E-06
YPR008W,3.02858E-05
YPR007C,4.4538E-07
YPR006C,1.72956E-05
YPR005C,1.85575E-06
YPR004C,0.000110231
YPR003C,1.28418E-05
YPR002W,3.77088E-05
YPR001W,2.2269E-06
YPL001W,3.38489E-05
YPL002C,1.15799E-05
YPL003W,6.01263E-06
YPL004C,0.000332327
YPL005W,4.08265E-06
YPL006W,3.39973E-05
YPL007C,1.92998E-05
YPL008W,6.75493E-06
YPL009C,0.00018023
YPL010W,0.000176296
YPL011C,2.56836E-05
YPL012W,0.000228034
YPL013C,4.29049E-05
YPL014W,1.06891E-05
YPL015C,1.97452E-05
YPL016W,6.0052E-05
YPL017C,1.92998E-06
YPL018W,1.06149E-05
YPL019C,0.000221502
YPL020C,3.51108E-05
YPL021W,7.42299E-08
YPL022W,1.65533E-05
YPL023C,6.27243E-05
YPL024W,9.13028E-06
YPL026C,3.31808E-05
YPL027W,5.1961E-07
YPL028W,0.000731091
YPL029W,1.26191E-05
YPL030W,7.3933E-05
YPL031C,6.36893E-05
YPL032C,9.15255E-05
YPL033C,4.4538E-07
YPL034W,2.07844E-06
YPL036W,2.59805E-06
YPL037C,0.001249958
YPL038W,9.87258E-06
YPL038W-A,7.42299E-08
YPL039W,9.4272E-06
YPL040C,1.32872E-05
YPL041C,7.79414E-06
YPL042C,1.32872E-05
YPL043W,0.000234864
YPL045W,2.21948E-05
YPL046C,1.33614E-05
