ORF,Xi
YPR204W,0
YPR203W,0
YPR202W,0
YPR201W,3.67146E-06
YPR200C,4.707E-07
YPR199C,1.64745E-05
YPR198W,4.26454E-05
YPR196W,7.53119E-06
YPR195C,1.60038E-06
YPR194C,8.47259E-07
YPR193C,9.13157E-06
YPR192W,4.42458E-06
YPR191W,0.000827772
YPR190C,5.24359E-05
YPR189W,0.000111932
YPR188C,9.88469E-05
YPR187W,0.000115133
YPR186C,2.00518E-05
YPR185W,4.52813E-05
YPR184W,0.000592517
YPR183W,0.000596753
YPR182W,4.66934E-05
YPR181C,0.00030539
YPR180W,6.97577E-05
YPR179C,4.87645E-05
YPR178W,4.04802E-05
YPR176C,5.94023E-05
YPR175W,2.24994E-05
YPR174C,3.24783E-05
YPR173C,0.000103742
YPR172W,0.000194022
YPR171W,6.48624E-05
YPR170W-B,0.000128219
YPR169W,1.751E-05
YPR168W,4.83879E-05
YPR167C,1.22382E-05
YPR166C,6.9287E-05
YPR165W,0.000481808
YPR164W,5.06473E-05
YPR163C,0.000431255
YPR162C,2.91834E-05
YPR161C,7.58768E-05
YPR160W,0.000962581
YPR159C-A,9.41399E-08
YPR159W,0.000244011
YPR158C-C,0
YPR158C-D,0
YPR158W-A,0
YPR158W-B,0
YPR158W,3.53966E-05
YPR157W,2.73006E-06
YPR156C,6.75925E-05
YPR155C,0.000112215
YPR154W,0.00034747
YPR153W,9.88469E-06
YPR152C,1.73217E-05
YPR151C,5.60132E-05
YPR149W,0.002160323
YPR148C,0.000204378
YPR147C,2.53236E-05
YPR145C-A,8.02072E-05
YPR145W,0.000255966
YPR144C,5.27184E-05
YPR143W,6.22265E-05
YPR141C,5.14004E-05
YPR140W,3.64321E-05
YPR139C,3.41728E-05
YPR138C,1.05437E-05
YPR137C-A,0
YPR137C-B,0
YPR137W,6.93811E-05
YPR135W,7.36174E-05
YPR134W,2.71123E-05
YPR133W-A,6.74983E-05
YPR133C,0.000184138
YPR132W,0.000439728
YPR131C,2.68299E-05
YPR129W,0.000166063
YPR128C,4.97059E-05
YPR127W,0.000167851
YPR125W,5.94964E-05
YPR124W,0.00011438
YPR122W,6.58979E-06
YPR121W,1.50624E-06
YPR120C,2.83361E-05
YPR119W,5.32832E-05
YPR118W,7.71947E-05
YPR117W,4.707E-06
YPR116W,1.30854E-05
YPR115W,0.000116733
YPR114W,4.5093E-05
YPR113W,8.44435E-05
YPR112C,0.000111462
YPR111W,4.46223E-05
YPR110C,0.000144034
YPR109W,2.80537E-05
YPR108W-A,9.41399E-08
YPR108W,0.000241375
YPR107C,4.58461E-05
YPR106W,5.94964E-05
YPR105C,3.12545E-05
YPR104C,7.41823E-05
YPR103W,0.000271876
YPR102C,0.000193834
YPR101W,2.76771E-05
YPR100W,6.44858E-05
YPR098C,0.00014234
YPR097W,0.000108637
YPR096C,3.7656E-07
YPR095C,4.02919E-05
YPR094W,2.83361E-05
YPR093C,3.5679E-05
YPR091C,7.24877E-05
YPR089W,9.8941E-05
YPR088C,0.000227913
YPR086W,7.32409E-05
YPR085C,1.20499E-05
YPR084W,3.47376E-05
YPR083W,3.85974E-05
YPR082C,2.78654E-05
YPR081C,4.22688E-05
YPR080W,0.000451401
YPR079W,3.10662E-05
YPR078C,6.77807E-06
YPR075C,9.29161E-05
YPR074C,0.000417134
YPR073C,0.000109014
YPR072W,0.000159191
YPR071W,9.22571E-06
YPR070W,3.06896E-05
YPR069C,0.000310379
YPR068C,1.8169E-05
YPR067W,2.65475E-05
YPR066W,1.13909E-05
YPR065W,0.000197506
YPR064W,2.8242E-07
YPR063C,0.000135467
YPR062W,0.000119652
YPR061C,4.43399E-05
YPR060C,3.06896E-05
YPR058W,6.01554E-05
YPR057W,9.60227E-06
YPR056W,4.32102E-05
YPR055W,7.28643E-05
YPR054W,1.12968E-06
YPR053C,2.8242E-07
YPR052C,3.48318E-05
YPR051W,3.6338E-05
YPR049C,9.67758E-05
YPR048W,2.68299E-05
YPR047W,2.96541E-05
YPR046W,1.55331E-05
YPR045C,0.000103554
YPR043W,0.000490375
YPR042C,0.000213133
YPR041W,0.000284397
YPR040W,8.38787E-05
YPR037C,3.86915E-05
YPR036W-A,0.000712168
YPR036W,0.000434173
YPR035W,0.000788516
YPR034W,6.41093E-05
YPR033C,0.000217369
YPR032W,7.74771E-05
YPR031W,2.14639E-05
YPR030W,0.000180937
YPR029C,8.99978E-05
YPR028W,0.00035519
YPR027C,2.8242E-07
YPR026W,0.000303507
YPR025C,3.39845E-05
YPR024W,0.000151659
YPR023C,0.000116639
YPR022C,8.86798E-05
YPR021C,4.30219E-05
YPR020W,0.000200141
YPR019W,0.000112121
YPR018W,6.41093E-05
YPR017C,2.11815E-05
YPR016C,0.000242222
YPR015C,9.31985E-06
YPR014C,0
YPR013C,3.57732E-06
YPR011C,2.72064E-05
YPR010C-A,0.000385221
YPR010C,0.000195058
YPR009W,1.05437E-05
YPR008W,0.000146105
YPR007C,3.38904E-06
YPR006C,0.00016418
YPR005C,6.54272E-05
YPR004C,0.000205131
YPR003C,4.94235E-05
YPR002W,0.000238456
YPR001W,0.000178301
YPL001W,4.96117E-05
YPL002C,2.96541E-05
YPL003W,1.23323E-05
YPL004C,0.001635587
YPL005W,1.93928E-05
YPL006W,0.000165027
YPL007C,2.84303E-05
YPL008W,2.24994E-05
YPL009C,0.000133773
YPL010W,0.000146011
YPL011C,3.13486E-05
YPL012W,0.000114474
YPL013C,7.11698E-05
YPL014W,2.13698E-05
YPL015C,2.59826E-05
YPL016W,0.000131984
YPL017C,2.81478E-05
YPL018W,1.74159E-05
YPL019C,8.37845E-05
YPL020C,6.42976E-05
YPL021W,9.41399E-08
YPL022W,5.76136E-05
YPL023C,8.95271E-05
YPL024W,1.08261E-05
YPL026C,6.24148E-05
YPL027W,1.12968E-06
YPL028W,0.000657002
YPL029W,2.04284E-05
YPL030W,4.09509E-05
YPL031C,0.000100918
YPL032C,7.06049E-05
YPL033C,7.53119E-07
YPL034W,1.69452E-06
YPL036W,0.000944506
YPL037C,0.000944129
YPL038W,9.13157E-06
YPL038W-A,1.8828E-07
YPL039W,2.08991E-05
YPL040C,2.32526E-05
YPL041C,4.42458E-06
YPL042C,3.35138E-05
YPL043W,0.000105813
YPL045W,3.17252E-05
YPL046C,1.83573E-05
YPL047W,1.97694E-05
YPL048W,0.000661333
YPL049C,6.0532E-05
