ORF,Xi
YPR204W,0
YPR203W,0
YPR202W,0
YPR201W,9.00898E-07
YPR200C,5.14799E-07
YPR199C,1.14543E-05
YPR198W,2.38095E-05
YPR196W,2.1879E-06
YPR195C,5.14799E-07
YPR194C,1.22265E-06
YPR193C,4.50449E-07
YPR192W,6.43499E-07
YPR191W,9.94205E-05
YPR190C,6.49934E-05
YPR189W,9.42082E-05
YPR188C,5.27025E-05
YPR187W,0.000180051
YPR186C,1.19047E-05
YPR185W,1.62805E-05
YPR184W,4.89059E-06
YPR183W,0.000353281
YPR182W,3.28828E-05
YPR181C,0.000384426
YPR180W,4.58815E-05
YPR179C,1.9305E-05
YPR178W,1.76319E-05
YPR176C,3.68725E-05
YPR175W,3.05662E-05
YPR174C,2.32303E-05
YPR173C,8.08878E-05
YPR172W,4.22135E-05
YPR171W,3.14671E-05
YPR170W-B,0.000175739
YPR169W,6.91118E-05
YPR168W,1.20334E-05
YPR167C,1.53153E-05
YPR166C,3.2561E-05
YPR165W,0.000360617
YPR164W,2.58043E-05
YPR163C,0.000938865
YPR162C,1.9305E-05
YPR161C,5.35391E-05
YPR160W,9.00898E-06
YPR159C-A,0
YPR159W,0.000161261
YPR158C-C,0
YPR158C-D,5.14799E-07
YPR158W-A,0
YPR158W-B,0
YPR158W,2.14929E-05
YPR157W,3.66794E-06
YPR156C,4.27927E-05
YPR155C,1.51222E-05
YPR154W,5.10294E-05
YPR153W,3.08879E-06
YPR152C,1.71814E-05
YPR151C,6.43499E-07
YPR149W,0.000345816
YPR148C,9.7297E-05
YPR147C,3.22393E-05
YPR145C-A,8.36548E-07
YPR145W,0.000887256
YPR144C,7.70911E-05
YPR143W,6.93692E-05
YPR141C,2.14929E-05
YPR140W,1.22265E-05
YPR139C,3.24323E-05
YPR138C,9.71683E-06
YPR137C-A,0
YPR137C-B,0
YPR137W,8.77089E-05
YPR135W,4.77476E-05
YPR134W,6.82109E-06
YPR133W-A,7.93434E-05
YPR133C,0.000118468
YPR132W,0.001332171
YPR131C,3.2368E-05
YPR129W,0.000138288
YPR128C,4.3951E-05
YPR127W,2.56112E-05
YPR125W,5.11581E-05
YPR124W,9.20203E-05
YPR122W,2.52895E-05
YPR121W,7.07849E-07
YPR120C,1.70527E-05
YPR119W,5.29599E-05
YPR118W,0.000173165
YPR117W,4.37579E-06
YPR116W,6.04889E-06
YPR115W,1.86615E-05
YPR114W,5.00642E-05
YPR113W,0.000155791
YPR112C,0.000181274
YPR111W,1.73745E-05
YPR110C,0.000309716
YPR109W,8.23678E-06
YPR108W-A,0
YPR108W,0.000227284
YPR107C,1.99485E-05
YPR106W,2.52251E-05
YPR105C,3.56498E-05
YPR104C,3.61003E-05
YPR103W,0.000245752
YPR102C,0.000767501
YPR101W,1.71171E-05
YPR100W,3.93178E-05
YPR098C,2.87E-05
YPR097W,6.68595E-05
YPR096C,2.57399E-07
YPR095C,1.70527E-05
YPR094W,1.96911E-05
YPR093C,7.40023E-06
YPR091C,2.34234E-05
YPR089W,4.45301E-05
YPR088C,0.000244529
YPR086W,8.64219E-05
YPR085C,5.08364E-06
YPR084W,8.36548E-06
YPR083W,9.39508E-06
YPR082C,2.02059E-05
YPR081C,1.28056E-05
YPR080W,0.001135775
YPR079W,1.39639E-05
YPR078C,6.43499E-07
YPR075C,3.52637E-05
YPR074C,0.00198159
YPR073C,8.10165E-05
YPR072W,0.000108301
YPR071W,6.24194E-06
YPR070W,2.07207E-05
YPR069C,0.000664798
YPR068C,6.75674E-06
YPR067W,1.12612E-05
YPR066W,7.33588E-06
YPR065W,5.70783E-05
YPR064W,0
YPR063C,0.000109781
YPR062W,0.000278378
YPR061C,5.08364E-06
YPR060C,8.50062E-05
YPR058W,6.41568E-05
YPR057W,1.435E-05
YPR056W,2.83783E-05
YPR055W,3.72586E-05
YPR054W,6.43499E-07
YPR053C,3.21749E-07
YPR052C,5.69496E-05
YPR051W,4.0283E-05
YPR049C,1.31274E-05
YPR048W,3.98326E-05
YPR047W,8.23678E-06
YPR046W,8.94463E-06
YPR045C,4.77476E-05
YPR043W,0.001862993
YPR042C,4.27927E-05
YPR041W,0.000488802
YPR040W,2.59973E-05
YPR037C,2.42599E-05
YPR036W-A,0.000473293
YPR036W,0.00053005
YPR035W,0.001311193
YPR034W,6.35133E-05
YPR033C,0.000642662
YPR032W,3.77734E-05
YPR031W,1.10038E-05
YPR030W,1.35135E-06
YPR029C,6.3642E-05
YPR028W,0.00032117
YPR027C,7.07849E-07
YPR026W,5.27669E-06
YPR025C,2.17503E-05
YPR024W,8.86098E-05
YPR023C,5.72714E-05
YPR022C,3.03731E-05
YPR021C,1.13256E-05
YPR020W,3.84169E-05
YPR019W,7.12353E-05
YPR018W,3.16601E-05
YPR017C,1.76319E-05
YPR016C,0.000250578
YPR015C,1.6731E-06
YPR014C,6.43499E-08
YPR013C,6.62804E-06
YPR011C,9.78118E-06
YPR010C-A,2.90218E-05
YPR010C,0.00058996
YPR009W,1.22265E-05
YPR008W,3.17245E-05
YPR007C,2.57399E-07
YPR006C,1.35778E-05
YPR005C,2.12355E-06
YPR004C,9.0669E-05
YPR003C,1.3063E-05
YPR002W,3.2368E-05
YPR001W,2.0592E-06
YPL001W,2.71556E-05
YPL002C,1.24195E-05
YPL003W,1.04247E-05
YPL004C,0.0002722
YPL005W,3.53924E-06
YPL006W,4.24066E-05
YPL007C,1.84041E-05
YPL008W,7.40023E-06
YPL009C,0.000133269
YPL010W,0.000154954
YPL011C,2.11711E-05
YPL012W,0.000199292
YPL013C,3.07592E-05
YPL014W,9.45943E-06
YPL015C,2.53538E-05
YPL016W,6.20976E-05
YPL017C,3.86099E-06
YPL018W,2.92148E-05
YPL019C,0.000942983
YPL020C,2.13642E-05
YPL021W,2.57399E-07
YPL022W,1.75032E-05
YPL023C,6.02958E-05
YPL024W,9.84553E-06
YPL026C,2.21364E-05
YPL027W,0
YPL028W,0.000686098
YPL029W,6.75674E-06
YPL030W,5.592E-05
YPL031C,5.77218E-05
YPL032C,9.71683E-05
YPL033C,3.21749E-07
YPL034W,2.1879E-06
YPL036W,3.34619E-06
YPL037C,0.00143912
YPL038W,1.47361E-05
YPL038W-A,2.57399E-07
YPL039W,1.03603E-05
YPL040C,8.42983E-06
YPL041C,6.82109E-06
YPL042C,1.52509E-05
YPL043W,0.000196524
YPL045W,1.98198E-05
