ORF,Xi
YPR204W,7.47244E-08
YPR203W,0
YPR202W,0
YPR201W,2.54063E-06
YPR200C,2.24173E-07
YPR199C,1.56921E-05
YPR198W,4.79731E-05
YPR196W,7.09882E-06
YPR195C,5.23071E-07
YPR194C,3.73622E-07
YPR193C,1.12087E-05
YPR192W,9.41527E-06
YPR191W,0.000905211
YPR190C,5.88081E-05
YPR189W,9.84867E-05
YPR188C,6.77003E-05
YPR187W,8.87726E-05
YPR186C,1.53185E-05
YPR185W,3.5793E-05
YPR184W,0.000380347
YPR183W,0.000459929
YPR182W,4.37138E-05
YPR181C,0.000270278
YPR180W,5.87334E-05
YPR179C,3.9305E-05
YPR178W,2.87689E-05
YPR176C,5.0962E-05
YPR175W,1.67383E-05
YPR174C,1.83075E-05
YPR173C,9.28824E-05
YPR172W,0.000132262
YPR171W,4.54324E-05
YPR170W-B,9.47505E-05
YPR169W,1.50196E-05
YPR168W,3.85578E-05
YPR167C,1.06856E-05
YPR166C,5.29796E-05
YPR165W,0.000407846
YPR164W,4.3639E-05
YPR163C,0.000358602
YPR162C,2.2492E-05
YPR161C,5.38763E-05
YPR160W,0.000655706
YPR159C-A,0
YPR159W,0.000184793
YPR158C-C,0
YPR158C-D,0
YPR158W-A,0
YPR158W-B,7.47244E-08
YPR158W,3.08612E-05
YPR157W,2.54063E-06
YPR156C,5.10368E-05
YPR155C,8.71286E-05
YPR154W,0.00023725
YPR153W,7.62189E-06
YPR152C,1.48702E-05
YPR151C,6.83728E-05
YPR149W,0.001812365
YPR148C,0.000154156
YPR147C,3.13095E-05
YPR145C-A,0.000190771
YPR145W,0.00029815
YPR144C,4.77489E-05
YPR143W,4.24434E-05
YPR141C,2.85447E-05
YPR140W,2.39118E-05
YPR139C,2.57799E-05
YPR138C,1.1657E-05
YPR137C-A,0
YPR137C-B,0
YPR137W,4.57313E-05
YPR135W,8.34671E-05
YPR134W,2.36876E-05
YPR133W-A,4.78236E-05
YPR133C,0.000132038
YPR132W,0.000485933
YPR131C,3.04128E-05
YPR129W,0.000121352
YPR128C,5.67158E-05
YPR127W,0.000232393
YPR125W,6.25443E-05
YPR124W,9.72164E-05
YPR122W,3.82589E-05
YPR121W,5.23071E-07
YPR120C,1.88305E-05
YPR119W,3.48216E-05
YPR118W,9.4078E-05
YPR117W,6.50102E-06
YPR116W,1.34504E-05
YPR115W,9.17615E-05
YPR114W,4.72258E-05
YPR113W,5.35027E-05
YPR112C,8.30935E-05
YPR111W,3.93797E-05
YPR110C,0.000119858
YPR109W,1.57668E-05
YPR108W-A,7.47244E-08
YPR108W,0.000196376
YPR107C,3.16831E-05
YPR106W,4.76742E-05
YPR105C,3.52699E-05
YPR104C,5.38763E-05
YPR103W,0.000221633
YPR102C,0.000205268
YPR101W,2.12964E-05
YPR100W,5.23818E-05
YPR098C,0.000158565
YPR097W,8.91462E-05
YPR096C,2.24173E-07
YPR095C,3.30282E-05
YPR094W,1.8158E-05
YPR093C,2.83953E-05
YPR091C,4.3639E-05
YPR089W,7.22585E-05
YPR088C,0.000178367
YPR086W,5.89575E-05
YPR085C,1.10592E-05
YPR084W,2.42107E-05
YPR083W,3.10853E-05
YPR082C,2.57052E-05
YPR081C,3.60919E-05
YPR080W,0.000496245
YPR079W,2.68261E-05
YPR078C,4.63291E-06
YPR075C,6.53091E-05
YPR074C,0.000818979
YPR073C,8.33177E-05
YPR072W,9.15374E-05
YPR071W,7.47244E-06
YPR070W,2.18195E-05
YPR069C,0.000366075
YPR068C,1.63646E-05
YPR067W,1.73361E-05
YPR066W,9.56472E-06
YPR065W,0.00020482
YPR064W,1.49449E-07
YPR063C,0.00010155
YPR062W,0.000100728
YPR061C,3.45974E-05
YPR060C,2.65272E-05
YPR058W,5.52213E-05
YPR057W,1.58416E-05
YPR056W,3.55688E-05
YPR055W,5.86586E-05
YPR054W,1.49449E-06
YPR053C,5.97795E-07
YPR052C,4.3116E-05
YPR051W,3.00392E-05
YPR049C,6.53091E-05
YPR048W,2.51821E-05
YPR047W,1.63646E-05
YPR046W,1.22548E-05
YPR045C,6.76256E-05
YPR043W,0.000583074
YPR042C,0.000124491
YPR041W,0.000243153
YPR040W,6.88212E-05
YPR037C,3.65402E-05
YPR036W-A,0.000316458
YPR036W,0.000461647
YPR035W,0.000632841
YPR034W,4.6628E-05
YPR033C,0.000224248
YPR032W,6.09751E-05
YPR031W,1.84569E-05
YPR030W,0.000171418
YPR029C,8.41397E-05
YPR028W,0.000353895
YPR027C,1.04614E-06
YPR026W,0.00021969
YPR025C,1.82327E-05
YPR024W,0.000122324
YPR023C,9.39285E-05
YPR022C,5.64916E-05
YPR021C,3.22809E-05
YPR020W,0.000230973
YPR019W,8.74275E-05
YPR018W,4.38632E-05
YPR017C,8.5933E-06
YPR016C,0.000182552
YPR015C,1.45713E-05
YPR014C,1.49449E-07
YPR013C,4.93181E-06
YPR011C,2.30898E-05
YPR010C-A,0.000404408
YPR010C,0.000181506
YPR009W,1.92789E-05
YPR008W,0.000114029
YPR007C,3.81094E-06
YPR006C,0.000243078
YPR005C,5.18587E-05
YPR004C,0.000156772
YPR003C,5.26807E-05
YPR002W,0.000309135
YPR001W,0.000184569
YPL001W,5.0439E-05
YPL002C,2.15206E-05
YPL003W,2.07734E-05
YPL004C,0.001528188
YPL005W,1.27031E-05
YPL006W,0.000148851
YPL007C,2.67513E-05
YPL008W,1.77844E-05
YPL009C,0.000107528
YPL010W,0.000111937
YPL011C,2.25668E-05
YPL012W,0.000112311
YPL013C,4.69269E-05
YPL014W,1.47954E-05
YPL015C,3.08612E-05
YPL016W,0.000110368
YPL017C,3.34765E-05
YPL018W,1.4646E-05
YPL019C,0.000138987
YPL020C,4.48346E-05
YPL021W,0
YPL022W,4.26676E-05
YPL023C,8.07023E-05
YPL024W,1.12834E-05
YPL026C,7.46497E-05
YPL027W,1.64394E-06
YPL028W,0.000776984
YPL029W,1.64394E-05
YPL030W,3.86325E-05
YPL031C,7.5098E-05
YPL032C,8.6755E-05
YPL033C,1.12087E-06
YPL034W,1.41976E-06
YPL036W,0.000943096
YPL037C,0.00080112
YPL038W,1.21053E-05
YPL038W-A,1.49449E-07
YPL039W,1.83822E-05
YPL040C,1.35251E-05
YPL041C,5.45488E-06
YPL042C,2.1969E-05
YPL043W,8.48122E-05
YPL045W,3.22062E-05
YPL046C,1.3002E-05
YPL047W,1.54679E-05
YPL048W,0.000663478
YPL049C,5.50719E-05
YPL050C,7.10629E-05
YPL051W,2.03998E-05
YPL052W,2.3314E-05
YPL053C,7.57705E-05
YPL054W,0.000427125
YPL055C,4.05753E-05
YPL056C,3.73622E-07
YPL057C,0.000160508
YPL058C,5.90323E-06
YPL059W,8.86231E-05
YPL060C-A,5.23071E-07
YPL060W,2.05492E-05
YPL061W,0.004071657
YPL062W,0
YPL063W,0.000123893
YPL064C,1.8158E-05
YPL065W,3.66897E-05
YPL066W,2.33887E-05
YPL067C,4.3639E-05
YPL068C,8.14496E-06
YPL069C,1.43471E-05
YPL070W,4.59555E-05
YPL071C,1.25537E-05
YPL072W,8.66803E-06
YPL074W,4.17709E-05
YPL075W,2.68261E-05
YPL076W,9.93834E-06
YPL077C,1.18812E-05
YPL078C,0.000579637
YPL079W,0.000326546
YPL080C,0
YPL081W,0.000252419
YPL082C,5.94059E-05
YPL083C,2.21931E-05
YPL084W,0.000111339
YPL085W,0.000211022
YPL086C,6.67289E-05
YPL087W,8.1076E-05
YPL088W,4.07995E-05
YPL089C,4.97664E-05
YPL090C,0.000118139
YPL091W,0.000257425
YPL092W,0.000291051
YPL093W,0.000108126
YPL094C,9.98318E-05
YPL095C,2.57052E-05
YPL096W,5.76872E-05
YPL096C-A,7.47244E-06
YPL097W,2.5481E-05
YPL098C,0.000136895
YPL099C,4.19951E-05
YPL100W,6.22454E-05
YPL101W,4.92434E-05
YPL103C,1.25537E-05
YPL104W,2.88436E-05
YPL105C,0.000111937
YPL106C,0.001517503
YPL107W,3.81094E-05
YPL108W,1.43471E-05
YPL109C,4.90192E-05
YPL110C,0.000120456
YPL111W,0.001073266
YPL112C,5.30543E-05
YPL113C,6.78497E-05
YPL115C,3.75864E-05
YPL116W,4.63291E-05
YPL117C,0.000257799
YPL118W,9.34055E-05
YPL119C,9.46758E-05
YPL119C-A,0
YPL120W,2.74238E-05
YPL121C,2.98898E-07
YPL122C,2.44349E-05
YPL123C,0.000113207
YPL124W,1.22548E-05
YPL125W,0.000109546
YPL126W,9.22099E-05
YPL127C,0.000196525
YPL128C,4.24434E-05
YPL129W,8.92956E-05
YPL130W,7.47244E-07
YPL131W,0.001840237
YPL132W,1.95778E-05
YPL133C,3.34018E-05
YPL134C,0.000210573
YPL135W,0.000642256
YPL137C,5.97795E-05
YPL138C,3.75864E-05
YPL139C,6.55333E-05
YPL140C,3.01886E-05
YPL141C,3.6316E-05
YPL143W,0.000552512
YPL144W,1.92042E-05
YPL145C,0.000239267
YPL146C,5.97795E-05
YPL147W,0.000214833
YPL148C,1.78591E-05
YPL149W,1.8158E-05
YPL150W,3.13095E-05
YPL151C,1.44965E-05
YPL152W,5.80608E-05
YPL152W-A,4.48346E-07
YPL153C,2.49579E-05
YPL154C,0.001343619
YPL155C,2.44349E-05
YPL156C,0.000156025
YPL157W,1.86064E-05
YPL158C,4.22193E-05
YPL159C,8.44386E-05
YPL160W,0.000371978
YPL161C,3.80347E-05
YPL162C,2.80216E-05
YPL163C,0.000129273
YPL164C,1.83075E-05
YPL165C,0
YPL166W,2.3314E-05
YPL167C,1.11339E-05
YPL168W,1.38987E-05
YPL169C,5.9929E-05
YPL170W,0.000116944
YPL171C,1.21053E-05
YPL172C,1.84569E-05
YPL173W,5.23818E-05
YPL174C,1.33009E-05
YPL175W,1.35998E-05
YPL176C,5.05137E-05
YPL177C,0.000184196
YPL178W,6.2619E-05
YPL179W,0.000119185
YPL180W,6.20212E-05
YPL181W,0.000117392
YPL183C,5.94059E-05
YPL183W-A,4.71511E-05
YPL184C,8.06276E-05
YPL186C,0.000221707
YPL187W,6.72519E-07
YPL188W,9.55725E-05
YPL189W,1.34504E-06
YPL189C-A,5.35027E-05
YPL190C,0.000215505
YPL191C,2.3314E-05
YPL192C,0
YPL193W,4.84214E-05
YPL194W,1.48702E-05
YPL195W,8.44386E-05
YPL196W,5.9107E-05
YPL198W,0.000124042
YPL199C,3.69138E-05
YPL200W,1.59163E-05
YPL201C,0.000201905
YPL202C,2.94414E-05
YPL203W,9.63197E-05
YPL204W,0.000105586
YPL206C,0.000160807
YPL207W,6.52344E-05
YPL208W,2.05492E-05
YPL209C,1.09845E-05
YPL210C,0.000151167
YPL211W,5.26807E-05
YPL212C,5.06631E-05
YPL213W,3.60172E-05
YPL214C,4.5283E-05
YPL215W,6.55333E-05
YPL216W,1.92789E-05
YPL217C,9.05659E-05
YPL218W,0.000343732
YPL219W,4.00523E-05
YPL220W,7.63683E-05
YPL221W,0.000151616
YPL222W,0.000196152
YPL223C,0.005177279
YPL224C,3.44479E-05
YPL225W,0.000261984
YPL226W,0.000249953
YPL227C,2.45843E-05
YPL228W,0.000107229
YPL229W,5.0439E-05
YPL230W,0.00012068
YPL231W,0.003006909
YPL232W,0.000141603
YPL233W,2.66766E-05
YPL234C,0.000181281
YPL235W,0.00014362
YPL236C,2.60041E-05
YPL237W,0.000169699
YPL239W,7.4276E-05
YPL240C,0.00086755
YPL241C,8.96693E-06
YPL242C,5.94806E-05
YPL243W,0.000177246
YPL244C,1.15076E-05
YPL245W,1.24042E-05
YPL246C,7.01662E-05
YPL247C,6.38146E-05
YPL248C,1.91294E-05
YPL249C,0.000104838
YPL249C-A,0.000560433
YPL250C,4.57313E-05
YPL252C,3.27293E-05
YPL253C,1.68877E-05
YPL254W,4.59555E-05
YPL255W,8.21968E-06
YPL256C,3.4149E-05
YPL257W,2.83953E-05
YPL257W-A,0
YPL257W-B,0
YPL258C,3.88567E-06
YPL259C,5.58191E-05
YPL260W,0.000298748
YPL261C,1.56921E-06
YPL262W,0.000858658
YPL263C,2.99645E-05
YPL264C,1.28526E-05
YPL265W,0.000713468
YPL266W,3.80347E-05
YPL267W,2.6303E-05
YPL268W,1.61405E-05
YPL269W,5.8285E-06
YPL270W,6.35157E-05
YPL271W,0.00050282
YPL272C,0.001280178
YPL273W,4.52083E-05
YPL274W,3.72875E-05
YPL275W,3.73622E-07
YPL276W,1.34504E-05
YPL277C,8.81748E-06
YPL278C,0
YPL279C,4.48346E-07
YPL280W,7.47244E-08
YPL281C,2.24173E-07
YPL282C,5.97795E-07
YPL283C,0
YOR396W,0
YOR394C-A,0
YOR394W,7.47244E-08
YOR393W,7.47244E-08
YOR391C,5.30543E-06
YOR390W,6.72519E-07
YOR389W,5.75378E-06
YOR388C,1.07603E-05
YOR387C,0
YOR386W,2.89931E-05
YOR385W,3.46721E-05
YOR384W,7.47244E-08
YOR383C,2.15206E-05
YOR382W,3.15337E-05
YOR381W-A,7.47244E-08
YOR381W,8.96693E-07
YOR380W,7.77134E-06
YOR378W,1.94283E-06
YOR377W,8.21968E-07
YOR376W-A,0
YOR376W,0
YOR375C,0.000593835
YOR374W,0.021477655
YOR373W,2.72744E-05
YOR372C,7.10629E-05
YOR371C,4.37138E-05
YOR370C,8.96693E-05
YOR369C,0.00118879
YOR368W,2.1147E-05
YOR367W,6.05267E-05
YOR365C,3.28787E-06
YOR363C,4.40874E-05
YOR362C,0.000211022
YOR361C,0.000326994
YOR360C,2.35382E-05
YOR359W,3.02634E-05
YOR358W,1.9802E-05
YOR357C,4.9617E-05
YOR356W,0.000196376
YOR355W,0.000270801
YOR354C,5.24565E-05
YOR353C,4.61049E-05
YOR352W,4.58808E-05
YOR351C,9.71417E-07
YOR350C,3.63908E-05
YOR349W,4.48346E-06
YOR348C,0.000508948
YOR347C,9.43769E-05
YOR346W,3.93797E-05
YOR344C,0.000269381
YOR343W-A,0
YOR343W-B,1.49449E-07
YOR343C,1.49449E-07
YOR342C,2.92172E-05
YOR341W,0.000189426
YOR340C,8.31682E-05
YOR339C,3.43732E-06
YOR338W,3.96786E-05
YOR337W,2.24173E-05
YOR336W,7.24826E-05
YOR335C,0.000490192
YOR334W,9.34055E-06
YOR332W,0.000640612
YOR330C,4.15468E-05
YOR329C,7.24826E-05
YOR328W,5.75378E-05
YOR327C,0.000144816
YOR326W,0.000158789
YOR324C,8.07771E-05
YOR323C,0.000268036
YOR322C,5.86586E-05
YOR321W,6.32168E-05
YOR320C,6.09751E-05
YOR319W,1.44218E-05
