geneid,des
YLR075W,ribo
YGR085C,ribo
YDR418W,ribo
YMR142C,ribo
YHL001W,ribo
YMR121C,ribo
YNL069C,ribo
YJL177W,ribo
YNL301C,ribo
YBL027W,ribo
YGL135W,ribo
YOR312C,ribo
YPL079W,ribo
YFL034C-A,ribo
YER117W,ribo
YGR148C,ribo
YGR034W,ribo
YDR471W,ribo
YGL103W,ribo
YFR032C-A,ribo
YIL018W,ribo
YOR063W,ribo
YGL030W,ribo
YLR406C,ribo
YBL092W,ribo
YOR234C,ribo
YIL052C,ribo
YDL136W,ribo
YPL249C-A,ribo
YDR500C,ribo
YLR325C,ribo
YJL189W,ribo
YKR094C,ribo
YDL133C-A,ribo
YHR141C,ribo
YJR094W-A,ribo
YDR012W,ribo
YPL131W,ribo
YLR448W,ribo
YPL198W,ribo
YLL045C,ribo
YNL067W,ribo
YLR340W,ribo
YDL130W,ribo
YDR382W,ribo
YPR102C,ribo
YEL054C,ribo
YDL082W,ribo
YKL006W,ribo
YLR029C,ribo
YIL133C,ribo
YKL180W,ribo
YOL120C,ribo
YBR084C-A,ribo
YPL220W,ribo
YMR242C,ribo
YBR191W,ribo
YLR061W,ribo
YBL087C,ribo
YGL031C,ribo
YLR344W,ribo
YHR010W,ribo
YFR031C-A,ribo
YDL075W,ribo
YPL143W,ribo
YER056C-A,ribo
YDL191W,ribo
YMR194W,ribo
YLR185W,ribo
YIL148W,ribo
YDL184C,ribo
YNL162W,ribo
YPR043W,ribo
YBR031W,ribo
YML073C,ribo
YGL076C,ribo
YHL033C,ribo
YGL147C,ribo
YDL081C,ribo
YOL039W,ribo
YMR116C,ribo
YLR048W,ribo
YMR230W,ribo
YBR048W,ribo
YOR369C,ribo
YDR064W,ribo
YJL191W,ribo
YOL040C,ribo
YDL083C,ribo
YDR447C,ribo
YML026C,ribo
YNL302C,ribo
YML063W,ribo
YGL123W,ribo
YHL015W,ribo
YJL136C,ribo
YLR367W,ribo
YPR132W,ribo
YIL069C,ribo
YLR333C,ribo
YER131W,ribo
YHR021C,ribo
YLR264W,ribo
YDL061C,ribo
YNL178W,ribo
YOR182C,ribo
YLR167W,ribo
YHR203C,ribo
YJR123W,ribo
YBR181C,ribo
YNL096C,ribo
YER102W,ribo
YBR189W,ribo
YGR214W,ribo
YOR293W,ribo
YDR025W,ribo
YCR031C,ribo
YMR143W,ribo
YML024W,ribo
YDR450W,ribo
YOL121C,ribo
YLR441C,ribo
YKR057W,ribo
YJL190C,ribo
YGR118W,ribo
YER074W,ribo
YGR027C,ribo
YGL189C,ribo
YKL156W,ribo
YOR167C,ribo
YLR388W,ribo
YLR287C-A,ribo
YJR145C,ribo
YPL090C,ribo
YOR096W,ribo
YBL072C,ribo
YPL081W,ribo
